org_id,organization,screening_decision,screening_evidence_certainty,verified_typology_labels,typology_label_count,verified_news_edge_count,unique_news_story_count,unique_outlet_count,media_layer_count,media_layers_observed,community_ethnic_edge_count,local_regional_edge_count,national_amplification_edge_count,national_amplification_observed,cross_layer_observed,three_layer_observed,direct_quote_edge_count,substantive_interpretation_edge_count,resource_routing_edge_count,mobilization_uptake_edge_count,legal_information_uptake_edge_count,service_uptake_edge_count,media_visibility_status,interpretation_note
D2-10,Immigrant Defense Network,eligible,verified,advocacy;coalition_network;community_rooted;media_information;organizing,5,2,2,2,2,community_ethnic;local_regional,1,1,0,0,1,0,1,1,1,2,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-01,Community Services Agency of Minnesota (COMSA-MN),eligible,verified,community_rooted;direct_service;education_workforce;health_wellbeing;immigrant_integration;legal;refugee_resettlement,7,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-02,Southeast Asian Diaspora Project (SEAD),eligible,verified,community_rooted;ethnocultural;media_information,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-03,Bhutanese Community Organization of Minnesota,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;immigrant_integration,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-04,Asian Women United of Minnesota,eligible,verified,community_rooted;direct_service;gender_based;immigrant_integration;legal,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-05,India Association of Minnesota,eligible,verified,advocacy;community_rooted;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-06,Fil-Minnesotan Association,probably_eligible,provisional,community_rooted;education_workforce;ethnocultural;youth_family,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-07,Cultural Society of Filipino Americans,probably_eligible,provisional,community_rooted;ethnocultural,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-08,Chinese American Association of Minnesota,probably_eligible,provisional,community_rooted;education_workforce;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-09,The Urban Village,eligible,verified,advocacy;community_rooted;ethnocultural;organizing;youth_family,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-10,Korean Association of Minnesota,probably_eligible,provisional,community_rooted;education_workforce;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-11,Association of Nepalis in Minnesota,eligible,verified,community_rooted;ethnocultural,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-12,Tibetan American Foundation of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-13,Vietnamese Community of Minnesota,eligible,verified,advocacy;community_rooted;direct_service;ethnocultural,4,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,0,0,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-14,LatinoLEAD,eligible,verified,advocacy;coalition_network;community_rooted;education_workforce;ethnocultural,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-15,Hispanic Advocacy and Community Empowerment through Research (HACER),eligible,verified,advocacy;community_rooted;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-16,Latino Economic Development Center (LEDC),eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;housing_economic,6,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,1,0,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-18,Asian Media Access,eligible,verified,community_rooted;education_workforce;ethnocultural;media_information,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-19,Minnesota Hmong Chamber of Commerce,probably_eligible,provisional,advocacy;community_rooted;ethnocultural;housing_economic,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-20,MN Zej Zog,eligible,verified,community_rooted;education_workforce;ethnocultural;youth_family,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D3-21,Roseville Covenant Church - Good Neighbor refugee ministry,probably_eligible,provisional,direct_service;faith_based;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-01,Ethiopian Community in Minnesota,eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;housing_economic;immigrant_integration,7,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-02,Organization of Liberians in Minnesota,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;health_wellbeing;housing_economic;immigrant_integration;youth_family,8,1,1,1,1,community_ethnic,1,0,0,0,0,0,0,0,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-03,Lao Family Community of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-04,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),probably_eligible,provisional,community_rooted;direct_service;ethnocultural;health_wellbeing;youth_family,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-05,Vietnamese Social Services of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-06,Restoration for All Inc.,eligible,verified,community_rooted;direct_service;ethnocultural;health_wellbeing,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-07,Somali Parent Academy,eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;youth_family,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-08,Hmong Shaman & Herb Center,probably_eligible,provisional,community_rooted;ethnocultural;health_wellbeing,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-09,African Growers and Producers Alliance (AGAPA),probably_eligible,provisional,community_rooted;ethnocultural;housing_economic,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-10,Legacy Family Center,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;health_wellbeing;immigrant_integration;youth_family,7,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
D4-11,Care Resource Connection,probably_eligible,provisional,direct_service;health_wellbeing;media_information,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC001,Caring Friends Network,probably_eligible,provisional,education_workforce,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC002,Cedar Riverside Adult Education Collaborative,probably_eligible,provisional,community_rooted;education_workforce;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC003,Centro Tyrone Guzman,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC004,East African Integration Center,probably_eligible,provisional,community_rooted;direct_service;ethnocultural;health_wellbeing,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC005,International Education Center,eligible,verified,direct_service;education_workforce;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC006,Ka Joog,probably_eligible,provisional,community_rooted;direct_service;education_workforce;ethnocultural;youth_family,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC007,Keystone Community Services,probably_eligible,provisional,direct_service,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC008,Literacy Minnesota,probably_eligible,provisional,education_workforce;immigrant_integration,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC009,Minnesota Somali Community Center,eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;health_wellbeing;housing_economic;youth_family,8,1,1,1,1,community_ethnic,1,0,0,0,0,0,0,0,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC010,Minnesota Africans United,eligible,verified,coalition_network;community_rooted;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC011,MORE,eligible,verified,community_rooted;direct_service;education_workforce;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC012,MTA Center - Mothers Tutoring Academy,probably_eligible,provisional,education_workforce;youth_family,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC013,Sierra Leone Community in Minnesota,eligible,verified,coalition_network;community_rooted;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC014,Somali American Parent Association (SAPA),eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;legal;youth_family,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC017,Casa Guadalupana,eligible,verified,direct_service;faith_based;housing_economic;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC019,Esperanza United,probably_eligible,provisional,advocacy;community_rooted;direct_service;ethnocultural;gender_based;health_wellbeing;organizing;youth_family,8,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,1,0,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC021,IAFR Jonathan House,eligible,verified,direct_service;faith_based;housing_economic;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC022,Lutheran Social Service of Minnesota - Refugee Services,eligible,verified,direct_service;education_workforce;faith_based;immigrant_integration;legal;refugee_resettlement,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC023,Missions Inc. Programs,probably_eligible,provisional,direct_service;gender_based;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC024,Sakan,eligible,verified,advocacy;community_rooted;housing_economic;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC027,ZACAH,eligible,verified,direct_service;faith_based;housing_economic;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC028,African Career Education and Resources Inc. (ACER),eligible,verified,advocacy;community_rooted;ethnocultural;health_wellbeing;housing_economic;organizing,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC029,African Community Services,eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;housing_economic;immigrant_integration,7,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC030,African Development Center of Minnesota,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;housing_economic,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC031,African Economic Development Solutions (AEDS),eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;housing_economic,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC032,AFDN / African Families Development Network,probably_eligible,provisional,community_rooted;direct_service;ethnocultural,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC033,African Immigrants Community Services (AICS),eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;immigrant_integration;refugee_resettlement,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC034,Al-Maa'uun,probably_eligible,provisional,advocacy;direct_service;education_workforce;faith_based;health_wellbeing;housing_economic,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC035,Arrive Ministries,eligible,verified,direct_service;education_workforce;faith_based;immigrant_integration;legal;refugee_resettlement,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC038,Comunidades Latinas Unidas En Servicio (CLUES),eligible,verified,advocacy;community_rooted;direct_service;ethnocultural;health_wellbeing;housing_economic;immigrant_integration,7,2,2,2,1,local_regional,0,2,0,0,0,0,1,1,1,1,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC039,Darul Uloom Center,eligible,verified,community_rooted;direct_service;education_workforce;faith_based;immigrant_integration;legal,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC040,Igbo Women League of Minnesota,eligible,verified,community_rooted;education_workforce;ethnocultural;gender_based;health_wellbeing;youth_family,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC041,International Institute of Minnesota,eligible,verified,direct_service;education_workforce;immigrant_integration;refugee_resettlement,4,11,11,9,2,local_regional;national_amplification,0,8,3,1,1,0,10,10,10,1,3,10,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC042,Isuroon,eligible,verified,community_rooted;direct_service;ethnocultural;gender_based;health_wellbeing;housing_economic,6,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,1,0,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC043,Minnesota African Women's Association,eligible,verified,advocacy;community_rooted;direct_service;ethnocultural;gender_based;health_wellbeing,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC044,Minnesota Council of Churches - Refugee Services,eligible,verified,direct_service;education_workforce;faith_based;immigrant_integration;legal;refugee_resettlement,6,1,1,1,1,local_regional,0,1,0,0,0,0,1,1,1,0,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC045,Neighborhood House,eligible,verified,direct_service;education_workforce;housing_economic;immigrant_integration;youth_family,5,1,1,1,1,community_ethnic,1,0,0,0,0,0,0,1,1,0,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC046,New American Development Center,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;housing_economic,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC047,Oromo Community of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC048,Our Saviour's Community Services,eligible,verified,direct_service;education_workforce;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC051,Somali Community Resettlement Services,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration;refugee_resettlement,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC052,Somali Success,eligible,verified,advocacy;community_rooted;direct_service;education_workforce;ethnocultural;immigrant_integration,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC053,YMCA of the North - Immigrant and Refugee Support,eligible,verified,direct_service;immigrant_integration;legal;refugee_resettlement,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC054,Alight,eligible,verified,direct_service;education_workforce;health_wellbeing;housing_economic,4,4,4,4,2,local_regional;national_amplification,0,3,1,1,1,0,4,4,4,0,0,4,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC055,CAPI USA,eligible,verified,community_rooted;direct_service;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC056,Karen Organization of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC057,Immigrant Law Center of Minnesota,eligible,verified,advocacy;civil_rights_human_rights;direct_service;legal,4,17,17,8,2,local_regional;national_amplification,0,14,3,1,1,0,10,10,7,4,13,7,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC058,Mid-Minnesota Legal Aid,eligible,verified,advocacy;civil_rights_human_rights;direct_service;legal,4,5,5,4,3,community_ethnic;local_regional;national_amplification,1,3,1,1,1,1,4,4,5,0,5,5,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC059,Minnesota African Women Coalition,eligible,verified,advocacy;community_rooted;ethnocultural;gender_based;health_wellbeing;housing_economic,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC060,SEWA-AIFW,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration;refugee_resettlement,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC061,Ukrainian American Community Center,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration;refugee_resettlement,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC062,AVIVO,eligible,verified,direct_service;education_workforce;immigrant_integration,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC063,Afghan Cultural Society,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;health_wellbeing;immigrant_integration,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC064,The Advocates for Human Rights,eligible,verified,advocacy;civil_rights_human_rights;direct_service;legal,4,12,12,6,2,local_regional;national_amplification,0,11,1,1,1,0,8,9,3,2,9,3,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC065,Volunteer Lawyers Network,eligible,verified,civil_rights_human_rights;direct_service;legal,3,3,3,3,2,community_ethnic;local_regional,1,2,0,0,1,0,0,0,3,0,3,3,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
