pilot_order,item_id,org_id,organization,date,platform,platform_family,content_type,title_or_caption,source_summary
17,TC041-LI-001,TC041,International Institute of Minnesota,2026-03-12,LinkedIn,social,social_post,"2026 Midway Chamber Nonprofit of the Year recognition","Institute celebrates an award and thanks staff, clients, students, volunteers, and donors, referring to difficult recent months and emphasizing bravery, compassion, and community support."
18,CI0034,TC041,International Institute of Minnesota,2025-12-03,website,website,statement,"Statement on the President’s Attacks on the Somali Community in Minnesota","Institute condemns rhetoric and policy targeting Somali, Burmese and Afghan communities and references a reported planned ICE operation and Somali TPS changes."
19,TC064-LI-001,TC064,The Advocates for Human Rights,2026-01-28,LinkedIn,social,social_post,"Individual detained in Minnesota sues DHS over denial of access to lawyers","The Advocates shares litigation concerning an individual detained in Minnesota and alleged denial of access to legal counsel."
20,TC057-WEB-002,TC057,Immigrant Law Center of Minnesota,2025-12-19,website,website,news_article,"Ten Things You Can Do to Support Immigrants and Refugees","ILCM provides concrete actions for people who want to support immigrants and refugees, connecting concern about attacks on immigrant communities to practical support and action."
21,TC073-LI-002,TC073,Center for Victims of Torture,2026-01-06,LinkedIn,social,social_post,"Human rights are for all of us, everywhere.","CVT urges supporters to work toward a world where all people can live free from torture and human-rights abuses."
22,TC073-WEB-005,TC073,Center for Victims of Torture,2026-01-08,website,website,statement,"CVT Denounces the ICE Shooting of Renee Nicole Good","CVT responds to Renee Good's fatal shooting and connects intensified immigration enforcement with fear, militarization, and trauma among immigrant communities and torture survivors."
23,TC054-LI-003,TC054,Alight,2026-03-18,LinkedIn,social,social_post,"Supporting refugees in Minnesota with everyday essentials","Alight describes continuing fear and safety concerns among Minnesota refugee communities and promotes a donation drive for hygiene items, household supplies, and children's care packages."
24,TC028-WEB-004,TC028,ACER,2026-03-19,website,website,article,"Beyond Survival: The Ongoing Impact of Long COVID","ACER tells a community member's story of persistent Long COVID symptoms, economic and healthcare challenges, resilience, and the need for trusted information and support."
25,TC057-LI-002,TC057,Immigrant Law Center of Minnesota,2026-01-08,LinkedIn,social,social_post,"Rapid-response and safety guidance during ICE activity","ILCM encourages neighbors to connect, mobilize, document witnessed ICE activity, contact rapid-response and detention resources, prepare safety plans, and report alleged misconduct."
26,D2-01-WEB-008,D2-01,ACLU of Minnesota,2026-02-03,website,website,legislative_item,"Rules and Administration - Subcommittee on the Federal Impact on Minnesotans and Economic Stability Committee Testimony","ACLU-MN lists testimony supporting legislation to limit immigration officials' access to childcare centers and discusses federal-enforcement impacts on Minnesotans."
27,TC064-LI-003,TC064,The Advocates for Human Rights,2026-03-24,LinkedIn,social,social_post,"Somali asylum seekers denied fair day in court","The Advocates criticizes the federal government's Somali fast-track immigration-court policy and argues that it denies meaningful access to counsel and asylum procedures."
28,CI0039,TC041,International Institute of Minnesota,2026-01-29,website,website,media_coverage,"Trapped inside: A Minnesota refugee family’s life on hold amid ICE arrests","Institute-hosted coverage of a refugee family staying inside and disrupting everyday life amid ICE arrests."
29,TC073-LI-003,TC073,Center for Victims of Torture,2026-01-11,LinkedIn,social,social_post,"Center for Victims of Torture shares mental health impacts amid surge of immigration enforcement operations","CVT amplifies local media in which a clinician describes how clients and the Minneapolis community are experiencing intensified enforcement and comparing it with conditions they fled."
30,TC057-WEB-003,TC057,Immigrant Law Center of Minnesota,2026-01-08,website,website,press_release,"ICE Terrorizes Communities Across Minnesota, Murders Minneapolis Woman","ILCM condemns federal immigration-enforcement violence following the fatal shooting of Renee Good and describes fear, harm, and community impact."
31,TC054-LI-004,TC054,Alight,2026-03-18,LinkedIn,social,social_post,"Ramadan reflection on Minnesota Somali community and Somalia","Alight reflects on a Minneapolis Iftar and connects concerns facing Somali immigrant families in Minnesota with humanitarian crisis and displacement in Somalia, emphasizing diaspora solidarity."
32,TC042-WEB-003,TC042,Isuroon,2026-02-10,website,website,in_the_news_card,"CBS News Minnesota With Some Minneapolis Muslims in Hiding, a Nonprofit Is Gathering Halal Food for Ramadan","Isuroon's website highlights media coverage of increased food insecurity and support for immigrant families during Ramadan."
33,TC064-LI-004,TC064,The Advocates for Human Rights,2026-03-27,LinkedIn,social,social_post,"Council to document impacts of Operation Metro Surge","The Advocates shares coverage of a Minnesota council established to document impacts of Operation Metro Surge."
34,TC073-WEB-013,TC073,Center for Victims of Torture,2026-03-12,website,website,article,"The Community Shows up to Help CVT Clients During ICE Surge","CVT describes escalating client fear and material needs and how staff, volunteers, and community members organized food delivery, crisis support, and mutual aid."
35,TC057-LI-003,TC057,Immigrant Law Center of Minnesota,2026-02-12,LinkedIn,social,social_post,"ICE at Hotels: What You Need to Know","ILCM provides rights and response guidance for hotel guests, staff, and managers regarding ICE access, warrants, guest privacy, employee protocols, and preparation."
36,D2-01-WEB-012,D2-01,ACLU of Minnesota,2026-03-03,website,website,press_release,"ACLU of Minnesota Pushes to End 287(g) Agreements with HF 3413, New Report, Community Organizing","ACLU-MN promotes legislation and organizing intended to end 287(g) agreements between ICE and state/local agencies in Minnesota."
37,TC041-LI-002,TC041,International Institute of Minnesota,2026-03-10,LinkedIn,social,social_post,"2025 Annual Report impact summary","Institute reports serving 6,017 New Americans from 121 countries and highlights immigration, refugee, workforce, and education services while framing continued support as essential."
38,CI0047,TC041,International Institute of Minnesota,2026-03-16,website,website,supporter_thanks,"Thank you, small businesses & organizations","Institute thanks businesses and organizations that provided donations, in-kind support, volunteering, legal-service expansion, groceries and rent assistance during the crisis."
39,TC074-LI-001,TC074,COPAL,2025-12-03,LinkedIn,social,social_post,"Stand with Somali families facing ICE persecution","COPAL states solidarity with Somali families facing ICE enforcement, rejects division among immigrant communities, and emphasizes bravery, unity, and the right of families to live without fear."
40,TC057-WEB-005,TC057,Immigrant Law Center of Minnesota,2026-01-26,website,website,press_release,"ICE Murders Second Civilian in Broad Daylight in Continued Violent Occupation of Minnesota","ILCM responds to the fatal shooting of Alex Pretti and situates it within broader enforcement actions, using strong language about fear, violence, surveillance, detention, and community harm."
