item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence,source_item_id,source_organization,series_id,series_label,series_type,series_analysis_note,is_recurring_series
TC054-WEB-001,TC054,Alight,2025-11-05,website,service,advocacy,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,2,2,1,2,1,2,1,0,0,0,mixed,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,,none,none,general_public,0,0,0,1,1,Impact report covers emergency response and local leadership.,Solidarity care hope and pride are moderate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC054-WEB-001,Alight,,,,,0
TC023-WEB-001,TC023,Missions Inc. Programs,2025-11-05,website,service,other,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,1,0,General program/community update.,Minimal affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low,TC023-WEB-001,Missions Inc. Programs,,,,,0
TC031-WEB-001,TC031,African Economic Development Solutions (AEDS),2025-11-06,website,economic_development,coalition_network,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,2,0,2,0,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,Cohort launch emphasizes collaboration and collective impact.,Solidarity pride and hope are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC031-WEB-001,African Economic Development Solutions (AEDS),,,,,0
TC038-EVT-002,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-06,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Digital-skills training increases practical coping efficacy.,No meaningful affective cue beyond practical empowerment in preserved summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-002,Comunidades Latinas Unidas En Servicio (CLUES),CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting.,1
TC058-WEB-001,TC058,Mid-Minnesota Legal Aid,2025-11-06,website,legal,service,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,implicit,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Litigation over continuation of SNAP benefits foregrounds material loss/vulnerability.,Client story implies care/solidarity; affect coded conservatively from summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-001,Mid-Minnesota Legal Aid,,,,,0
TC049-WEB-001,TC049,PRISM,2025-11-06,website,service,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,none,none,general_public,0,0,0,0,0,Archive confirms dated item only; substantive content unavailable.,No affect inferred.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,low,TC049-WEB-001,PRISM,,,,,0
TC054-WEB-002,TC054,Alight,2025-11-07,website,service,advocacy,1,1,1,0,1,0,0,0,1,0,1,1,1,0,2,2,0,0,0,2,3,2,1,0,0,1,0,2,0,mixed,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,donate;volunteer;use_resource,general,high,general_public,1,2,0,1,1,Funding cuts and uncertainty threaten refugee support.,Fear/anxiety are mediated through care solidarity and response capacity.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC054-WEB-002,Alight,,,,,0
TC064-WEB-001,TC064,The Advocates for Human Rights,2025-11-07,website,advocacy,legal,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,attend_event;seek_legal_help,specific,moderate,service_providers,1,1,1,1,1,Roundtable addresses fast-moving immigration law and enforcement risks.,Low fear/anxiety with practical efficacy.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC064-WEB-001,The Advocates for Human Rights,,,,,0
TC026-WEB-004,TC026,Volunteers of America Minnesota and Wisconsin,2025-11-07,website,education,service,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,3,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,1,0,Partnership is framed as pathway to student growth.,Hope pride care and solidarity are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC026-WEB-004,Volunteers of America Minnesota and Wisconsin,,,,,0
TC058-WEB-002,TC058,Mid-Minnesota Legal Aid,2025-11-09,website,legal,service,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Detention without bond is presented as a legal/enforcement risk.,Restrained newsroom amplification; affect coded conservatively.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-002,Mid-Minnesota Legal Aid,,,,,0
TC042-WEB-001,TC042,Isuroon,2025-11-11,website,ethnocultural,service,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,3,1,0,0,0,0,explicit,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,attend_event,specific,moderate,ethnocultural_community,1,1,0,0,,"The event frames gathering and organizational support as a collective opportunity; no threat, harm, or injustice appraisal is evident.","Gratitude is dominant and explicit. Solidarity is clear through the community gathering, with lower care, hope, and pride.",GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC042-WEB-001,Isuroon,,,,,0
TC073-WEB-001,TC073,Center for Victims of Torture,2025-11-12,website,service,education,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,mixed,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,,none,none,general_public,0,0,0,1,,"The internship model is presented as building professional capacity, supervision, healing support, and cross-community capability, supporting coping and collective efficacy appraisals.","Compassion is the clearest affective cue; empathy, solidarity, gratitude, pride, and hope are present at lower intensity in a reflective legacy frame.",GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC073-WEB-001,Center for Victims of Torture,,,,,0
TC038-EVT-003,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-13,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Digital-skills training increases practical coping efficacy.,No meaningful affective cue beyond practical empowerment in preserved summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-003,Comunidades Latinas Unidas En Servicio (CLUES),CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting.,1
TC035-WEB-001,TC035,Arrive Ministries,2025-11-14,website,faith,service,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,1,2,0,2,1,0,0,0,explicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,attend_event,specific,moderate,faith_community,1,1,0,0,1,Worship event builds multicultural belonging and connection.,Solidarity pride hope and care dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC035-WEB-001,Arrive Ministries,,,,,0
TC058-WEB-003,TC058,Mid-Minnesota Legal Aid,2025-11-15,website,legal,service,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,none,none,general_public,0,0,1,0,0,Panel addresses effects of immigration policies.,Policy effects imply uncertainty; no stronger emotion visible in summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-003,Mid-Minnesota Legal Aid,,,,,0
TC038-EVT-004,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-17,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Digital-skills training increases practical coping efficacy.,No meaningful affective cue beyond practical empowerment in preserved summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-004,Comunidades Latinas Unidas En Servicio (CLUES),CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting.,1
CI0032,TC041,International Institute of Minnesota,2025-11-17,website,service,education,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,mixed,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,,,use_resource,specific,moderate,immigrants_refugees,1,2,0,1,1,"The shutdown is linked to food insecurity and potential loss or disruption of benefits, creating threat, uncertainty, vulnerability, and care need. Resource information provides a concrete coping pathway.","Care is strongest. Fear/anxiety and urgency are low-to-moderate because food access is uncertain, while reassurance is present through practical resources rather than generic positivity.",GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,CI0032,International Institute of Minnesota,,,,,0
TC058-WEB-004,TC058,Mid-Minnesota Legal Aid,2025-11-17,website,legal,service,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,implicit,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,none,none,immigrants_refugees,0,1,1,0,0,Asylum-case termination and ICE presence outside court signal direct enforcement threat.,Fear strongly implied; outrage kept low absent full text.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-004,Mid-Minnesota Legal Aid,,,,,0
CI0033,TC041,International Institute of Minnesota,2025-11-18,website,service,economic_development,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,2,2,3,1,2,1,0,0,0,mixed,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,use_resource,general,low,immigrants_refugees,0,0,0,1,0,Client story frames newcomer business-building as resilience/opportunity.,Hope pride solidarity care and empathy are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,CI0033,International Institute of Minnesota,,,,,0
TC054-WEB-003,TC054,Alight,2025-11-20,website,service,fundraising,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,2,2,2,2,1,0,1,0,1,0,mixed,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,donate,specific,moderate,supporters_donors,1,2,0,1,1,Give to the Max coverage links funding cuts to refugee support needs.,Care empathy solidarity hope and fundraising urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC054-WEB-003,Alight,,,,,0
D2-10-WEB-001,D2-10,Immigrant Defense Network,2025-11-20,website,advocacy,coalition_network,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2,0,2,3,1,3,2,2,1,0,1,0,3,3,0,explicit,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,protest;attend_event;share_information,specific,high,general_public,1,3,0,0,1,Federal raid and detention are framed as violent harm requiring collective defense.,Outrage solidarity defiance and urgency are dominant.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,D2-10-WEB-001,Immigrant Defense Network,,,,,0
TC057-LI-001,TC057,Immigrant Law Center of Minnesota,2025-11-20,LinkedIn,legal,advocacy,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,0,explicit,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,donate,specific,moderate,supporters_donors,1,1,0,1,,"The appeal situates deportation defense and legal assistance as responses to vulnerability and threat, while donations are framed as a concrete way to expand coping and collective capacity.",Solidarity and care are prominent; fear is low and inferred from the deportation-defense context rather than explicitly described. Hope is tied to strengthening services.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC057-LI-001,Immigrant Law Center of Minnesota,,,,,0
TC054-LI-001,TC054,Alight,2025-11-21,LinkedIn,service,advocacy,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,1,2,0,1,0,0,1,0,explicit,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,support_business;share_information,specific,low,general_public,1,1,0,0,,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.","Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC054-LI-001,Alight,,,,,0
TC038-EVT-005,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-22,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,implicit,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Homebuyer education increases housing/financial coping efficacy.,Hope lightly implied through preparation for homeownership.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-005,Comunidades Latinas Unidas En Servicio (CLUES),,,,,0
TC054-WEB-004,TC054,Alight,2025-11-24,website,service,advocacy,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,3,3,2,0,1,2,0,0,0,mixed,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,use_resource,specific,moderate,immigrants_refugees,1,1,0,1,1,Shelter depot is framed as locally accessible response to displaced families' needs.,Care empathy dignity and reassurance dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC054-WEB-004,Alight,,,,,0
TC058-WEB-005,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,legal,service,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,2,0,0,0,2,2,0,0,0,0,1,0,0,0,mixed,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,seek_legal_help;use_resource,general,moderate,immigrants_refugees,1,1,1,1,0,Awaiting TPS decision creates uncertainty and vulnerability.,Explicit solidarity/support with Somali immigrant neighbors.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-005,Mid-Minnesota Legal Aid,,,,,0
TC058-WEB-006,TC058,Mid-Minnesota Legal Aid,2025-11-24,website,legal,service,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,implicit,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,seek_legal_help;prepare_documents,specific,moderate,immigrants_refugees,1,2,1,1,1,Unannounced USCIS visits framed as rights/safety situation with actionable protections.,Fear/anxiety transformed into rights guidance.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC058-WEB-006,Mid-Minnesota Legal Aid,,,,,0
TC054-WEB-005,TC054,Alight,2025-11-25,website,service,advocacy,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,3,3,3,3,0,1,2,0,0,0,explicit,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,,none,none,general_public,1,1,0,0,1,Uncertainty is countered by courage kindness connection and shared hope.,Hope solidarity care and empathy dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC054-WEB-005,Alight,,,,,0
TC038-EVT-006,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-26,website,service,ethnocultural,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,attend_event;use_resource,specific,moderate,general_public,1,1,0,1,1,Digital-skills training increases practical coping efficacy.,No meaningful affective cue beyond practical empowerment in preserved summary.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium,TC038-EVT-006,Comunidades Latinas Unidas En Servicio (CLUES),CLUES_DIGLIT_2025_2026,Digital Literacy Program,recurring_service_class,Retain raw; for robustness compare item-level results with series-collapsed or organization-month weighting.,1
TC023-WEB-002,TC023,Missions Inc. Programs,2025-11-26,website,service,other,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,3,3,2,2,2,0,2,0,1,0,mixed,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,mutual_aid;donate;use_resource,general,moderate,general_public,1,2,0,1,1,Community uncertainty is paired with tangible needs and mutual aid.,Solidarity care generosity and reassurance mediate uncertainty.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC023-WEB-002,Missions Inc. Programs,,,,,0
TC047-WEB-001,TC047,Oromo Community of Minnesota,2025-11-26,website,ethnocultural,service,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,2,1,1,1,2,0,0,0,0,explicit,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,none,none,ethnocultural_community,1,1,0,0,0,Death of respected community figure is framed as collective loss and legacy.,Grief dominates with solidarity pride and care.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC047-WEB-001,Oromo Community of Minnesota,,,,,0
TC047-WEB-002,TC047,Oromo Community of Minnesota,2025-11-26,website,ethnocultural,service,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,2,2,1,1,1,2,0,0,0,0,explicit,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,,none,none,ethnocultural_community,1,1,0,0,0,Loss is tied to justice peace scholarship and community advocacy legacy.,Grief dominates with pride solidarity and care.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC047-WEB-002,Oromo Community of Minnesota,,,,,0
TC002-WEB-001,TC002,Cedar Riverside Adult Education Collaborative,2025-11-27,website,education,service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,use_resource,specific,moderate,general_public,1,1,0,1,1,Closure announcement provides schedule information only.,No meaningful affective content.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high,TC002-WEB-001,Cedar Riverside Adult Education Collaborative,,,,,0
