item_id,org_id,organization,date,platform,org_role_primary,org_role_secondary,role_hybrid_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,emotion_explicitness,emotion_source_org,emotion_source_affected_public,emotion_source_supporters_public,emotion_source_quoted_actor,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_notes,emotion_notes,coder_id,coding_date,coder_confidence
TC078-EVT-006,TC078,Jewish Community Action,2026-01-25,website,faith,advocacy,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,2,0,1,0,3,2,1,1,0,0,1,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;share_information,specific,high,general_public,1,3,0,0,1,Repeated briefing sustains ICE-response organizing and participation.,Solidarity urgency and defiance remain prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-007,TC078,Jewish Community Action,2026-02-01,website,faith,ethnocultural,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,0,2,0,0,0,0,implicit,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,attend_event,specific,moderate,faith_community,1,1,0,0,1,Ritual gathering provides cultural and communal connection.,Solidarity pride and hope lightly present.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-008,TC078,Jewish Community Action,2026-02-08,website,faith,advocacy,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,2,0,1,0,3,2,1,1,0,0,1,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;share_information,specific,high,general_public,1,3,0,0,1,Recurring ICE-response briefing emphasizes strategy and participation.,Solidarity urgency and defiance accompany threat awareness.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-009,TC078,Jewish Community Action,2026-02-11,website,faith,advocacy,1,1,1,1,0,1,0,1,1,0,0,1,0,0,2,0,2,3,1,3,1,1,0,0,0,0,3,3,0,explicit,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,protest;attend_event,specific,high,general_public,1,3,0,0,1,Sit-ins target corporate response to killings and harassment.,Outrage solidarity defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-010,TC078,Jewish Community Action,2026-02-15,website,faith,advocacy,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,0,1,0,3,3,1,1,0,0,2,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;safety_plan,specific,high,general_public,1,3,0,1,1,Training responds to targeting of immigrant/BIPOC neighbors with preparation and collective action.,Care solidarity efficacy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-011,TC078,Jewish Community Action,2026-02-22,website,faith,advocacy,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,0,1,0,3,3,1,1,0,0,2,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;safety_plan,specific,high,general_public,1,3,0,1,1,Training sustains organized response to enforcement threats.,Care solidarity efficacy defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-012,TC078,Jewish Community Action,2026-03-01,website,faith,advocacy,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,1,0,1,0,3,3,1,1,0,0,2,2,3,0,mixed,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,attend_event;protest;safety_plan,specific,high,general_public,1,3,0,1,1,Regional direct-action training continues enforcement-response preparation.,Care solidarity efficacy defiance and urgency remain central.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-013,TC078,Jewish Community Action,2026-03-12,website,faith,advocacy,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,2,2,1,2,0,0,0,1,2,0,mixed,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,attend_event;contact_official,specific,high,policymakers,1,2,0,0,1,Equal-rights advocacy is framed around dignity and respect.,Solidarity care and moderate moral urgency support mobilization.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-014,TC078,Jewish Community Action,2026-03-22,website,faith,ethnocultural,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,1,2,0,2,0,1,1,0,explicit,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,attend_event,specific,moderate,faith_community,1,1,0,0,1,Freedom Seder links liberation tradition to contemporary struggles.,Solidarity pride hope and moral concern are prominent.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-015,TC078,Jewish Community Action,2026-03-23,website,faith,advocacy,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,0,1,0,0,0,1,2,0,implicit,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,attend_event;contact_official,specific,high,policymakers,1,2,0,0,1,Lobby day frames reproductive freedom as a rights issue requiring legislative action.,Moderate solidarity defiance and urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-016,TC078,Jewish Community Action,2026-03-24,website,faith,advocacy,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,0,1,0,0,0,1,2,0,implicit,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,attend_event;contact_official,specific,moderate,policymakers,1,2,0,0,1,ERA webinar supports rights advocacy and collective efficacy.,Moderate solidarity and moral urgency.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,medium
TC078-EVT-017,TC078,Jewish Community Action,2026-03-26,website,faith,service,1,1,0,1,1,0,0,0,1,0,1,1,1,0,2,1,0,1,0,3,3,3,2,0,0,2,0,2,0,mixed,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,volunteer;use_resource,specific,high,general_public,1,2,0,1,1,Host-home program responds to safety-driven relocation needs.,Care empathy solidarity reassurance and urgency are strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-018,TC078,Jewish Community Action,2026-03-27,website,faith,service,1,1,0,1,1,0,0,0,1,0,1,1,1,0,2,1,0,1,0,3,3,3,2,0,0,2,0,2,0,mixed,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,volunteer;use_resource,specific,high,general_public,1,2,0,1,1,Second host-home session continues safety and relocation support.,Care empathy solidarity reassurance and urgency remain strong.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
TC078-EVT-019,TC078,Jewish Community Action,2026-03-28,website,faith,advocacy,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,2,3,0,3,1,0,1,0,0,0,3,3,0,explicit,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,protest;attend_event,specific,high,general_public,1,3,0,0,1,Movement participation is framed as opposition to authoritarian escalation.,Outrage solidarity defiance and urgency dominate.,GPT-5.6-Sol_full_corpus_v1,2026-09-24,high
