relation_id,news_item_id,org_id,outlet_id,media_layer,visibility_type,headline_presence,lead_presence,direct_quote,quote_count,paraphrased,spokesperson_named,spokesperson_name,spokesperson_title,source_prominence,source_function_primary,source_function_secondary,substantive_interpretation,resource_routing,mobilization_uptake,fundraising_uptake,service_uptake,legal_information_uptake,safety_guidance_uptake,testimonial_uptake,org_affect_terms,journalist_affect_terms,dominant_affect,frame_transformation,local_to_national_amplification,amplification_path_id,matched_org_item_id,match_confidence,evidence_fragment,verification_status,coder_notes
R0011,STY-1E4074FFF418,D2-03,NEWS001,local_regional,named_mention,,,0,,0,0,,,supporting,crisis_response_source,,0,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_15_ayada.csv; source_news_item_id=NM081; Sahan explains that the Mamas of Cedar attended a Know Your Rights training hosted by Ayada Leads and that the training supplied foundational knowledge and best practices used to protect neighbors. This is substantive organizational uptake even without a direct Ayada quote because the organization's communicative/training intervention is narratively linked to community action.
R0012,STY-2414DB20A2A0,TC057,NEWS010,local_regional,direct_quote,,,1,,0,1,Tracy Roy,,supporting,legal_expert,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,TC057-LI-002,high,,verified,source_batch=news_media_uptake_batch_03_reformer_startribune.csv; source_news_item_id=NM011; ILCM attorney is quoted explaining what rapid responders may legally do. Story strongly overlaps with ILCM's Jan. 8 rapid-response and safety guidance.
R0013,STY-26D9CC284410,TC073,NEWS003,local_regional,direct_quote,,,1,,0,1,Sara Nelson,,supporting,affected_community_intermediary,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,TC073-WEB-005,medium,,verified,source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM049; Star Tribune quotes CVT on clients transferred out of Minnesota and cut off from communication; useful example of trauma/service framing embedded in broader detention reporting.
R0014,STY-29BDFA5FEC1A,TC077,NEWS017,community_ethnic,direct_quote,,,1,,0,1,JaNae Bates Imari,,supporting,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv; source_news_item_id=NM078; ISAIAH co-executive director explains the broad coalition and organic mobilization behind the Jan. 23 action; strong coalition/interfaith uptake case.
R0015,STY-29BDFA5FEC1A,TC078,NEWS017,community_ethnic,direct_quote,,,1,,0,1,Geri Katz,,supporting,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,"source_batch=news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv; source_news_item_id=NM073; JCA organizing director explains historical memory, coalition work, preparedness and mobilization; strong faith-based affective intermediation case."
R0016,STY-2DC66D7F6B6E,TC057,NEWS001,local_regional,direct_quote,,,1,,0,1,Ben Gleekel,,supporting,legal_expert,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,source_batch=news_media_uptake_batch_01.csv; source_news_item_id=NM001; ILCM attorney quoted directly about large-scale transfers and difficulty tracking clients; independent editorial story.
R0017,STY-2EBB77224EB1,TC058,NEWS015,community_ethnic,direct_quote,,,1,,0,1,Milo Mumgaard,,supporting,legal_service_intermediary,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM057; MMLA executive director interprets how enforcement fear reduces public participation while increasing demand for legal help; strong affect-to-behavior mechanism.
R0018,STY-2F91135ABD0F,D4-02,NEWS050,community_ethnic,named_mention,,,0,,0,0,,,supporting,mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_20_discovery_frame.csv; source_news_item_id=NM096; Movement/labor newspaper reports that Organization of Liberians in Minnesota was among the sponsoring organizations for the Feb. 7 Brooklyn Park immigrant-rights protest. Retain outlet-type distinction and treat as mobilization uptake rather than substantive interpretation.
R0019,STY-3136CCA56693,D2-01,NEWS002,local_regional,direct_quote,,,1,,0,1,Ian Bratlie,,primary,legal_guidance_source,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-003,medium,,verified,source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM016; Extended interview uses ACLU-MN attorney as the central expert and directs listeners to ACLU intake/reporting resources. Strong case of legal and action guidance carried through news-media uptake.
R0020,STY-366842B20EE9,TC082,NEWS051,national_amplification,direct_quote,,,1,,0,0,,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM099; National/community amplification through Japanese American press. Rafu Shimpo coverage identifies CAAL in Minnesota immigration-enforcement response and carries organization-level interpretation. Exact headline/date metadata should receive later URL/article QC.
R0021,STY-373C016F1D24,D2-08,NEWS031,national_amplification,named_mention,,,0,,0,0,,,primary,mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_20_discovery_frame.csv; source_news_item_id=NM093; National feature centers Defend the 612 as a grassroots ICE-watch and rapid-response network. Relation is coded as primary-subject visibility; quotation status remains conservative pending full-text quote-level QC.
R0022,STY-376D05B4D135,D2-02,NEWS016,community_ethnic,resource_listing,,,0,,0,0,,,resource_only,specialized_support_source,,0,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,low,,verified,"source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM062; Community Reporter lists MN8 as a specialized support resource for Southeast Asian communities. Classified as resource-directory uptake, not substantive quotation."
R0023,STY-376D05B4D135,D2-10,NEWS016,community_ethnic,resource_listing,,,0,,0,0,,,resource_only,coordination_network_source,,0,1,1,0,1,0,,,,,none_not_assessable,not_assessable,0,,,low,,verified,source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM063; Story identifies Immigrant Defense Network as coordinating more than 90 organizations statewide. Directory/coordination uptake only; not a direct quote.
R0024,STY-376D05B4D135,TC045,NEWS016,community_ethnic,named_mention,,,0,,0,0,,,primary,community_service_intermediary,,1,1,0,1,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM056; Neighborhood House is presented as a central crisis-response hub delivering food/basic necessities to families afraid to leave home; story also directs readers to donate and volunteer.
R0025,STY-376D05B4D135,TC065,NEWS016,community_ethnic,resource_listing,,,0,,0,0,,,resource_only,legal_resource_source,,0,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,low,,verified,"source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM064; Story directs readers to VLN as an immigration legal-assistance resource. Resource-directory uptake, not substantive quotation."
R0026,STY-377E465ED001,D2-01,NEWS010,local_regional,direct_quote,,,1,,0,1,Alicia Granse,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-007,medium,,verified,source_batch=news_media_uptake_batch_03_reformer_startribune.csv; source_news_item_id=NM013; ACLU-MN attorneys are quoted extensively on alleged rights violations and continuing legal strategy. Story provides a strong case for examining whether outrage/injustice framing is preserved or proceduralized in journalism.
R0027,STY-384FE779B49A,TC064,NEWS001,local_regional,direct_quote,,,1,,0,0,,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,TC064-LI-004,medium,,verified,"source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM025; Story centers Advocates' litigation over access restrictions at immigration court, extending the organization's transparency/accountability framing into news coverage."
R0028,STY-3C6325FEEF11,D3-13,NEWS003,local_regional,direct_quote,,,1,,0,1,Dave Hoang,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,"source_batch=news_media_uptake_batch_20_discovery_frame.csv; source_news_item_id=NM094; Star Tribune reports that calls flooded community leader Tri Tang as fear spread after an ICE-related shooting; the organization continued its major Tet celebration. Board member Dave Hoang is directly quoted about collective hurt, safety, and maintaining a gathering space."
R0029,STY-3FD4FADD113B,D2-01,NEWS006,local_regional,direct_quote,,,1,,0,0,,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-007,medium,,verified,source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM019; Coverage presents ACLU litigation and testimony as the central legal framework for alleged Operation Metro Surge abuses.
R0030,STY-41EDF46ABCF6,TC057,NEWS001,local_regional,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_policy_expert,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,"source_batch=news_media_uptake_batch_06_mpr_sahan_extended.csv; source_news_item_id=NM038; ILCM policy director explains organizational adaptation during the surge, ongoing detention/legal-process harms, and the need for continued support. Strong late-phase case for examining persistence and transformation of affective intermediation."
R0031,STY-42073B28230B,TC041,NEWS007,local_regional,direct_quote,,,1,,0,0,,,supporting,service_provider,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,"source_batch=news_media_uptake_batch_02_KSTP.csv; source_news_item_id=NM011; KSTP identifies all three sampled organizations as city-funded legal service providers and quotes Advocates' Madeline Lohman extensively on changed client demand, detained refugees, children needing counsel, and legal-service capacity."
R0032,STY-42073B28230B,TC057,NEWS007,local_regional,direct_quote,,,1,,0,0,,,supporting,service_provider,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,"source_batch=news_media_uptake_batch_02_KSTP.csv; source_news_item_id=NM011; KSTP identifies all three sampled organizations as city-funded legal service providers and quotes Advocates' Madeline Lohman extensively on changed client demand, detained refugees, children needing counsel, and legal-service capacity."
R0033,STY-42073B28230B,TC064,NEWS007,local_regional,direct_quote,,,1,,0,1,Madeline Lohman,,supporting,legal_expert,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,"source_batch=news_media_uptake_batch_02_KSTP.csv; source_news_item_id=NM011; KSTP identifies all three sampled organizations as city-funded legal service providers and quotes Advocates' Madeline Lohman extensively on changed client demand, detained refugees, children needing counsel, and legal-service capacity."
R0034,STY-43BE58F8A044,TC058,NEWS046,national_amplification,direct_quote,,,1,,0,1,Pheng Thao,,supporting,legal_guidance_source,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,"source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM059; National nonprofit news outlet with Minnesota-based reporting again uses MMLA guidance on contingency planning for children if parents are detained. Retained because it reflects journalistic uptake during the study window, though outlet is not local-only."
R0035,STY-43DBE96BD6E7,D2-01,NEWS006,local_regional,direct_quote,,,1,,0,1,Catherine Ahlin-Halverson,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-003,high,,verified,"source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM017; FOX 9 centers ACLU-MN's class-action lawsuit and carries direct language about illegality, fear, rights and accountability."
R0036,STY-44E83CD90AAF,TC073,NEWS003,local_regional,direct_quote,,,1,,0,1,Scott Roehm,,primary,affected_community_intermediary,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,TC073-WEB-007,high,,verified,source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM050; Column centers six CVT clients detained during Operation Metro Surge and explicitly compares their Minnesota detention experience with the repressive environments from which they fled.
R0037,STY-4AB9FF9A4B46,TC082,NEWS019,community_ethnic,named_mention,,,0,,0,1,ThaoMee Xiong,,supporting,community_advocacy_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_12_clues_caal.csv; source_news_item_id=NM080; Hmong Daily News identifies CAAL's executive director among Minnesota community leaders briefing CAPAC on continuing fear and post-surge impacts in Asian communities.
R0038,STY-4B7977EA2636,TC019,NEWS002,local_regional,direct_quote,,,1,,0,1,Vivian Huelgo,,supporting,affected_community_intermediary,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,"source_batch=news_media_uptake_batch_14_esperanza.csv; source_news_item_id=NM080; MPR interviews Esperanza United's president/CEO. Although the immediate hook is César Chávez's legacy, the interview explicitly turns to Operation Metro Surge and reports the organization's observations that survivors were afraid to leave home, stay home, call for help, use hospitals, or engage police/courts; it closes with Esperanza United's bilingual 24/7 crisis line. Strong second-order affective-intermediation case within the final day of the study window."
R0039,STY-4BE32E77757E,D2-01,NEWS010,local_regional,named_mention,,,0,,0,0,,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-004,medium,,verified,source_batch=news_media_uptake_batch_03_reformer_startribune.csv; source_news_item_id=NM014; Coverage reports a judicial ruling in ACLU litigation and carries the organization's legal-injustice frame into an institutional court-news format.
R0040,STY-4CA2E2495573,TC041,NEWS030,national_amplification,direct_quote,,,1,,0,1,Jane Graupman,,supporting,refugee_resettlement_source,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM098; National public-media amplification. PBS NewsHour directly quotes IIMN executive director Jane Graupman on fear among people with legal status and the effects of federal enforcement on refugee communities. Canonical PBS URL should be captured during URL-QC.
R0041,STY-4D017E19B1CF,TC073,NEWS008,local_regional,direct_quote,,,1,,0,1,Alison Beckman,,supporting,affected_community_intermediary,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,TC073-WEB-005,medium,,verified,source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM048; CVT archive verifies Pioneer Press article/date and summarizes Beckman's framing that clients recognize the enforcement environment as resembling what they fled.
R0042,STY-4FB3FF83A8B3,TC057,NEWS004,local_regional,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_policy_expert,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,source_batch=news_media_uptake_batch_01.csv; source_news_item_id=NM003; Live-update story quotes ILCM policy director on uncertainty about government arrest numbers and the people in custody.
R0043,STY-526CE2A63B34,TC084,NEWS004,local_regional,direct_quote,,,1,,0,1,Myrka Zambrano,,supporting,mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_19_tc061_tc084.csv; source_news_item_id=NM090; WCCO live coverage includes a dedicated Feb. 15 update on a MIRAC-organized protest and directly quotes organizer Myrka Zambrano rejecting claims that the enforcement surge had effectively ended.
R0044,STY-532733DA5C25,TC058,NEWS004,local_regional,resource_listing,,,0,,0,0,,,resource_only,legal_resource_source,,0,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,low,,verified,source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM065; CBS live coverage directs residents to Mid-Minnesota Legal Aid community clinics as a legal resource following the shooting. Classified separately from quoted-source uptake.
R0045,STY-532733DA5C25,TC065,NEWS004,local_regional,resource_listing,,,0,,0,0,,,resource_only,legal_resource_source,,0,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,low,,verified,"source_batch=news_media_uptake_batch_10_neighborhoodhouse_mmla_resources.csv; source_news_item_id=NM066; CBS live coverage lists Volunteer Lawyers Network clinics among resident resources. Resource-directory uptake, not direct quotation."
R0046,STY-543E7F9EC3B3,TC057,NEWS031,national_amplification,direct_quote,,,1,,0,1,Tracy Roy,,supporting,legal_expert,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_15_national_amplification.csv; source_news_item_id=NM082; National on-the-ground amplification. ILCM legal director appears in a dedicated section while providing legal assistance at the Whipple Federal Building and directly describes the effect of the operation on refugees.
R0047,STY-54BBCF0FA316,TC064,NEWS011,local_regional,direct_quote,,,1,,0,1,Michele Garnett McKenzie,,supporting,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,TC064-LI-004,medium,,verified,source_batch=news_media_uptake_batch_05_bringmethenews.csv; source_news_item_id=NM034; Story quotes Advocates executive director on open-court principles and transparency while reporting the organization's lawsuit challenging access restrictions.
R0048,STY-55CD48156365,D2-01,NEWS001,local_regional,direct_quote,,,1,,0,1,Alicia Granse,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,D2-01-WEB-001,high,,verified,source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM021; Detailed same-day reporting on ACLU-MN lawsuit with multiple direct quotations; strong high-confidence matched case for comparing organization-owned and journalistic affective framing.
R0049,STY-55CD48156365,TC064,NEWS001,local_regional,direct_quote,,,1,,0,1,Michele Garnett McKenzie,,supporting,legal_expert,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,source_batch=news_media_uptake_batch_04_fox9_mpr_sahan.csv; source_news_item_id=NM022; Same news item also quotes Advocates executive director on weak accountability checks in immigration enforcement. Retained as separate organization-story relation pending bridge-table normalization.
R0050,STY-566C3F14F34F,TC075,NEWS010,local_regional,direct_quote,,,1,,0,1,Luis Argueta Jr.,,supporting,community_intermediary,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,,,verified,source_batch=news_media_uptake_batch_07_iimn_copal_unidos.csv; source_news_item_id=NM044; Unidos communications director is quoted describing residents stuck at home in fear; story situates the organization within community patrol/observation infrastructure.
R0051,STY-5763FAF72846,TC084,NEWS001,local_regional,named_mention,,,0,,0,0,,,primary,community_mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv; source_news_item_id=NM068; MIRAC organized the vigil and speakers urged residents to honor Good and train for future encounters with immigration agents. Strong grief-to-mobilization case.
R0052,STY-577453D0D7A8,D2-06,NEWS004,local_regional,direct_quote,,,1,,0,1,Farhan Badel,,supporting,advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_20_discovery_frame.csv; source_news_item_id=NM092; WCCO directly quotes organizer Farhan Badel in a story linking renter protections and housing insecurity to the economic effects of Operation Metro Surge.
R0053,STY-582F1201D0D2,TC084,NEWS028,national_amplification,named_mention,,,0,,0,0,,,supporting,mobilization_source,,0,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_15_national_amplification.csv; source_news_item_id=NM085; Reuters report and accompanying Reuters imagery explicitly identify the Jan. 10 ICE Out of Minnesota rally and march as organized by MIRAC. Treat Yahoo as a syndicated host for the Reuters original; do not count the syndication copy as a separate original news item.
R0054,STY-5DC07AA7C30B,TC041,NEWS002,local_regional,direct_quote,,,1,,0,1,Jane Graupman,,supporting,refugee_service_expert,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,CI0039,high,,verified,source_batch=news_media_uptake_batch_07_iimn_copal_unidos.csv; source_news_item_id=NM039; MPR story documents a resettled family staying home from work and relying on food support; Graupman is quoted characterizing the operation's impact as terrifying. Strong affective-uptake case.
R0055,STY-5E05E490685E,D2-07,NEWS001,local_regional,direct_quote,,,1,,0,1,Irina Vaynerman,,supporting,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_20_rotating_remaining_frame.csv; source_news_item_id=NM094; Sahan quotes Groundwork Legal CEO and family attorney Irina Vaynerman describing the detention and transfer of a Minneapolis toddler and her father. Strong crisis/legal advocacy uptake.
R0056,STY-5F0B9A1CB115,TC073,NEWS052,national_amplification,direct_quote,,,1,,0,1,Sara Nelson,,supporting,health_trauma_source,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM100; International Spanish-language amplification. La Nacion directly sources CVT staff on the psychological and trauma effects of immigration enforcement in Minnesota. Exact article title/date/URL should receive later QC.
R0057,STY-5FD5514D98BC,TC044,NEWS002,local_regional,direct_quote,,,1,,0,1,Suzanne Kelly,,supporting,faith_refugee_service_source,,1,1,0,0,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,source_batch=news_media_uptake_batch_13_mcc.csv; source_news_item_id=NM079; MPR reports sharp staff reductions and resettlement disruption after federal policy/funding changes and quotes MCC leadership on human consequences. Strong organizational-vulnerability case within the study window.
R0058,STY-676354754AAF,TC057,NEWS002,local_regional,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_policy_expert,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,,,verified,"source_batch=news_media_uptake_batch_01.csv; source_news_item_id=NM008; ILCM policy director quoted on ongoing custody, detention and work-status uncertainty after the visible surge declined."
R0059,STY-676354754AAF,TC084,NEWS002,local_regional,direct_quote,,,1,,0,1,Mira Altobell-Resendez,,supporting,community_mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified,"source_batch=news_media_uptake_batch_11_mirac_jca_cair_isaiah.csv; source_news_item_id=NM071; MIRAC organizer interprets enforcement as less visible but ongoing, extending organizational framing into the normalization/decline phase."
R0060,STY-679A7E5A974D,D1-09,NEWS023,community_ethnic,direct_quote,,,1,,0,1,SMRLS team,,primary,legal_expert,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified,source_batch=news_media_uptake_batch_20_rotating_remaining_frame.csv; source_news_item_id=NM093; Minnesota Women's Press explicitly asks SMRLS to explain immigration and constitutional-rights questions for readers. Strong legal-information and public-education uptake.
R0061,STY-67D27E027398,TC073,NEWS005,local_regional,direct_quote,,,1,,0,1,Sara Nelson,,primary,affected_community_intermediary,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,TC073-WEB-005,high,,verified,source_batch=news_media_uptake_batch_08_alight_cvt.csv; source_news_item_id=NM047; CVT's first-party news archive preserves the KARE 11 report and identifies Jan. 21 publication. Nelson recounts client detention while lawfully in the asylum process and the client's unsuccessful attempt to explain status to agents.
