relation_id,news_item_id,org_id,outlet_id,media_layer,visibility_type,headline_presence,lead_presence,direct_quote,quote_count,paraphrased,spokesperson_named,spokesperson_name,spokesperson_title,source_prominence,source_function_primary,source_function_secondary,substantive_interpretation,resource_routing,mobilization_uptake,fundraising_uptake,service_uptake,legal_information_uptake,safety_guidance_uptake,testimonial_uptake,org_affect_terms,journalist_affect_terms,dominant_affect,frame_transformation,local_to_national_amplification,amplification_path_id,matched_org_item_id,match_confidence,evidence_fragment,verification_status,coder_notes
C0011,STY-6116E91ADB9A,TC077,,unmapped,direct_quote,,,1,,0,1,JaNaé Bates Imari,,supporting,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM105; Guardian again quotes Bates Imari asking faith communities to open their doors for lament, prayer and moral action, providing a distinct national amplification of ISAIAH's mobilizing frame."
C0012,STY-72434F3DED11,TC057,NEWS033,national_amplification,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_service_and_rights_source,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_16_national_external.csv; source_news_item_id=NM087; CNN interviews ILCM policy director Julia Decker and asks what resources worried residents can use. Decker directs audiences to Know Your Rights information, ILCM's detention hotline, ACLU/NILC/NIJC materials and local legal resources. Strong national service-routing uptake."
C0013,STY-82EFF7885000,TC064,NEWS027,national_amplification,named_mention,,,0,,0,0,,,primary,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_24_cnn_ap_expansion.csv; source_news_item_id=NM108; AP identifies The Advocates for Human Rights as the plaintiff organization in the lawsuit that produced the emergency access-to-counsel order. Strong national-wire uptake of the organization's legal intervention; affiliate republishes should not be counted as independent stories.
C0014,STY-87B1DB831636,TC074,NEWS033,national_amplification,direct_quote,,,1,,0,1,Ryan Pérez,,primary,affected_community_intermediary,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_24_cnn_ap_expansion.csv; source_news_item_id=NM106; CNN follows COPAL legal observers responding to reported federal activity and quotes organizing director Ryan Pérez explaining observer training, warrant demands and documentation practices. Distinct national broadcast amplification of COPAL's rapid-response work."
C0015,STY-8C93C1B29958,D2-03,,unmapped,direct_quote,,,1,,0,1,Habon Abdulle,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified_external,"source_batch=news_media_uptake_batch_15_ayada.csv; source_news_item_id=NM082; National rather than Minnesota-local outlet. Preserve in an external-amplification layer, not the primary local-news corpus. Here & Now interviews Ayada Leads executive director Habon Abdulle and identifies her as participating in emergency meetings to support the community."
C0016,STY-9A4D670F5E4F,TC075,,unmapped,direct_quote,,,1,,0,0,,,supporting,mobilization_source,,1,1,1,0,1,0,,,,,none_not_assessable,not_assessable,0,,,medium,,candidate,"source_batch=news_media_uptake_batch_21_cross_layer_deep_pass.csv; source_news_item_id=NM103; Additional local-news uptake located for Unidos MN beyond existing corpus, with organization-level interpretation of healthcare access and worker/community resistance. Keep as candidate pending article-level metadata and deduplication against existing FOX9/Sahan/WCCO/Reformer relations."
C0017,STY-C6FC6BE3DCCA,TC064,NEWS027,national_amplification,direct_quote,,,1,,0,1,Michele Garnett McKenzie,,supporting,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_16_national_external.csv; source_news_item_id=NM088; AP national-wire story identifies The Advocates as plaintiff organization and quotes executive director Michele Garnett McKenzie on attorney access and due process. Syndicated versions should be treated as AP reposts rather than separate stories.
C0018,STY-D7FD932E31AA,TC003,,unmapped,direct_quote,,,1,,0,1,Xavier Vázquez,,supporting,affected_community_intermediary,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,medium,,verified_external,source_batch=news_media_uptake_batch_18_centro_univision.csv; source_news_item_id=NM090; National Spanish-language interview in which Centro executive director Xavier Vázquez describes pressure and intimidation associated with federal immigration enforcement and discusses effects on everyday life and the regional economy.
C0019,STY-ED88B2C7E8EA,TC073,NEWS033,national_amplification,direct_quote,,,1,,0,1,Sara Nelson,,supporting,affected_community_intermediary,,1,1,0,0,1,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_17_national_external_additions.csv; source_news_item_id=NM091; CNN coverage, preserved in CVT's media archive, quotes program manager Sara Nelson on detained clients, legal-case cancellation and deportation risks. Strong national amplification of trauma and protection framing."
C0020,STY-EF6BF4949C9C,TC076,,unmapped,named_mention,,,0,,0,0,,,primary,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_19_icom_habitat.csv; source_news_item_id=NM091; Religion News Service identifies ICOM as a principal organizer of the multi-faith vigil outside the Whipple Building. Substantive organizational visibility even without a direct ICOM quote.
C0021,STY-F43E7AD9A785,TC057,NEWS027,national_amplification,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_16_national_external.csv; source_news_item_id=NM085; AP national-wire story quotes ILCM policy director Julia Decker on increased sightings of federal agents and enforcement vehicles. Syndicated republishes should be deduplicated to the AP origin.
C0022,STY-F43E7AD9A785,TC084,NEWS027,national_amplification,direct_quote,,,1,,0,1,Dieu Do,,supporting,community_mobilization_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_16_national_external.csv; source_news_item_id=NM086; Same AP story separately quotes MIRAC organizer Dieu Do describing a heavier federal presence. Store as an organization-story relation while deduplicating the underlying AP item at story level.
C0023,STY-F7835554B89B,TC057,NEWS032,national_amplification,direct_quote,,,1,,0,1,Julia Decker,,supporting,legal_advocacy_source,,1,0,0,0,0,1,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_16_national_external.csv; source_news_item_id=NM084; NYT live coverage quotes ILCM policy director Julia Decker arguing that fraud investigations should not become broad targeting of an entire community. Distinct national-origin earned coverage.
C0024,STY-FAB873CB1D90,D2-06,,unmapped,direct_quote,,,1,,0,0,,,supporting,housing_justice_source,,1,0,0,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,source_batch=news_media_uptake_batch_21_rotating_ix.csv; source_news_item_id=NM097; National progressive magazine coverage traces the rent-strike campaign to tenant organizers including IX and frames the housing crisis as a downstream consequence of immigration enforcement. Distinct external-amplification item.
C0025,STY-FEA931BF0CCE,TC077,,unmapped,direct_quote,,,1,,0,1,JaNaé Bates Imari,,supporting,faith_advocacy_source,,1,0,1,0,0,0,,,,,none_not_assessable,not_assessable,0,,,high,,verified_external,"source_batch=news_media_uptake_batch_23_national_guardian_expansion.csv; source_news_item_id=NM104; Guardian directly quotes ISAIAH co-executive director JaNaé Bates Imari explaining the Jan. 23 day of truth and freedom and the call to refuse work, shopping and school."
