org_id,organization,screening_context,community_ethnic_status,local_regional_status,national_status,new_verified_items,notes,audit_date
D2-02,MN8 / Release MN8,retain_pending_screening,verified_coverage,not_yet_fully_audited,not_yet_fully_audited,0,"Existing Community Reporter resource uptake retained. Name collision with MN8 Energy requires domain-specific follow-up.",2026-09-26
D2-03,Ayada Leads,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first broad pass.",2026-09-26
D2-04,Black Immigrant Collective,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first broad pass.",2026-09-26
D2-05,CAIR-Minnesota,retain_pending_screening,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing verified Sahan rally visibility retained; no additional relation added in this pass.",2026-09-26
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,retain_pending_screening,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,1,"New WCCO March 12, 2026 direct-quote relation added; story links renter protections and Metro Surge economic effects.",2026-09-26
D2-07,Groundwork Legal,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window first-party litigation material and court records found; AP coverage of the clergy-access case verified, but organization-level naming was not sufficiently confirmed in accessible article text, so no news relation added yet.",2026-09-26
D2-08,Defend the 612,coalition_or_volunteer_network_to_verify,not_yet_fully_audited,not_yet_fully_audited,verified_coverage,1,"New Washington Post Feb. 2, 2026 national feature added as primary-subject relation; organizational-form status remains to verify.",2026-09-26
D2-09,Monarca,duplicate_program_candidate,not_applicable_as_independent_unit,not_applicable_as_independent_unit,not_applicable_as_independent_unit,0,"Preserve Monarca-branded material under Unidos MN/program-level audit; not counted as independent organization pending screen.",2026-09-26
D2-10,Immigrant Defense Network,retain_pending_screening,verified_coverage,verified_coverage,not_yet_fully_audited,0,"Existing Community Reporter/CBS relations retained; extensive first-party in-window press material also found but excluded from independent-news count.",2026-09-26
D3-01,Community Services Agency of Minnesota (COMSA-MN),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first broad pass.",2026-09-26
D3-02,Southeast Asian Diaspora Project (SEAD),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Historical coverage exists, but no verified in-window independent-news relation found in this pass.",2026-09-26
D3-03,Bhutanese Community Organization of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Government/resource material and later secondary references found; no verified in-window independent-news relation.",2026-09-26
D3-04,Asian Women United of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window organization updates found; no verified independent-news relation in first pass.",2026-09-26
D3-05,India Association of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Later 2026 immigration-policy programming found; no verified independent-news relation within fixed window.",2026-09-26
D3-06,Fil-Minnesotan Association,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-07,Cultural Society of Filipino Americans,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-08,Chinese American Association of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window organization event posts found; no verified independent-news relation in first pass.",2026-09-26
D3-09,The Urban Village,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Later state-profile material links staff to rapid-response activity; no verified in-window independent-news relation located.",2026-09-26
D3-10,Korean Association of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-11,Association of Nepalis in Minnesota,retain_pending_screening,first_party_in_window,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window first-party Jan. 16 resource post and Jan. 21 immigration-safety programming found; excluded from independent-news count.",2026-09-26
D3-12,Tibetan American Foundation of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found; immigration-assistance program surfaced later in July 2026.",2026-09-26
D3-13,Vietnamese Community of Minnesota,retain_pending_screening,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,1,"New Star Tribune Jan. 25, 2026 feature added with direct organization quotation and community-safety framing during Tet.",2026-09-26
D3-14,LatinoLEAD,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-15,Hispanic Advocacy and Community Empowerment through Research (HACER),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-16,Latino Economic Development Center (LEDC),retain_pending_screening,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,1,"New Star Tribune Jan. 13, 2026 direct-quote relation added on business closures, revenue loss, fear, and ICE presence.",2026-09-26
D3-17,Alliance of Chicanos Hispanics and Latin Americans (ACHLA),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-18,Asian Media Access,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Later 2026 journalism/community activity found; no verified in-window independent-news relation located.",2026-09-26
D3-19,Minnesota Hmong Chamber of Commerce,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-20,MN Zej Zog,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D3-21,Roseville Covenant Church - Good Neighbor refugee ministry,program_level_candidate,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Program history/Arrive partnership material found; no verified in-window independent-news relation. Program-level eligibility remains provisional.",2026-09-26
D3-22,Church of St. Leonard of Port Maurice - refugee co-sponsorship,program_level_candidate,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found; program-level eligibility remains provisional.",2026-09-26
D3-23,Church of the Holy Name - refugee co-sponsorship,program_level_candidate,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Parish material found; no verified in-window independent-news relation. Program-level eligibility remains provisional.",2026-09-26
D4-01,Ethiopian Community in Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-02,Organization of Liberians in Minnesota,retain_pending_screening,verified_coverage,not_yet_fully_audited,not_yet_fully_audited,1,"New Feb. 23, 2026 The Militant relation added identifying OLM as sponsor of Feb. 7 Brooklyn Park immigrant-rights protest; labor federation media advisory independently corroborates sponsorship.",2026-09-26
D4-03,Lao Family Community of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-04,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-05,Vietnamese Social Services of Minnesota,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Current service material found; no verified in-window independent-news relation in first pass.",2026-09-26
D4-06,Restoration for All Inc.,relevance_to_verify,government_community_listing,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Minnesota government community-events page promoted March 13, 2026 mental-wellness conference focused on immigrant families; retained as public-institutional uptake, not independent journalism.",2026-09-26
D4-07,Somali Parent Academy,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-08,Hmong Shaman & Herb Center,retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-09,African Growers and Producers Alliance (AGAPA),retain_pending_screening,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Government/grantee information found; no verified in-window independent-news relation in first pass.",2026-09-26
D4-10,Legacy Family Center,relevance_to_verify,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Organizational and nonprofit-profile material found; no verified in-window independent-news relation.",2026-09-26
D4-11,Care Resource Connection,relevance_to_verify,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first pass.",2026-09-26
D4-12,Power of People Leadership Institute,relevance_to_verify,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"In-window state legislative funding record found and later public recognition, but no verified independent-news relation in first pass.",2026-09-26
