org_id,organization,community_ethnic_status,local_regional_status,national_status,new_verified_items,notes,audit_date
TC070,Hmong American Partnership,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found after repeat broad pass.",2026-09-26
TC071,Lao Assistance Center of Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Earlier coverage exists outside study window; no verified in-window relation found.",2026-09-26
TC072,Confederation of Somali Community in Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Strong Sept. 23, 2025 pre-window coverage exists; no verified in-window relation found.",2026-09-26
TC073,Center for Victims of Torture,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing MPR, Star Tribune, Pioneer Press and KARE coverage retained; first-party items excluded from independent-news counts.",2026-09-26
TC074,COPAL - Communities Organizing Latine Power and Action,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing MPR relation retained. Organization's in-the-news page exposes additional candidates for second-pass verification.",2026-09-26
TC075,Unidos MN,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing FOX 9, Sahan, WCCO and Reformer coverage retained.",2026-09-26
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"First-party vigil/resource material found; no sufficiently verified independent-news relation added.",2026-09-26
TC077,ISAIAH,verified_coverage,not_yet_fully_audited,not_yet_fully_audited,0,"Existing TC Jewfolk relation retained; no new verified item added.",2026-09-26
TC078,Jewish Community Action,verified_coverage,verified_coverage,verified_coverage,0,"Existing TC Jewfolk/local and JTA national relations retained.",2026-09-26
TC079,Fe y Justicia MN,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC080,Asamblea de Derechos Civiles,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC081,Minnesota Immigrant Movement,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC082,Coalition of Asian American Leaders (CAAL),verified_coverage,not_yet_fully_audited,not_yet_fully_audited,0,"Existing Hmong Daily News relation retained; government press-event appearance not counted as independent news.",2026-09-26
TC083,Navigate MN,duplicate_alias,duplicate_alias,duplicate_alias,0,"Former name/alias of Unidos MN; do not treat as independent analytic unit.",2026-09-26
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),verified_coverage,verified_coverage,verified_coverage,2,"Added Feb. 15 WCCO direct quote from Myrka Zambrano and February The Circle quote from Miguel Hernandez; existing Sahan/MPR/Reuters relations retained.",2026-09-26
