org_id,organization,corpus_presence,analysis_scope,legacy_role_seed_primary,legacy_role_seed_secondary,typology_status,typology_confidence,notes
TC003,Centro Tyrone Guzman,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Community/service role seed drawn from legacy coding."
TC030,African Development Center of Minnesota,verified_corpus,include,economic_development,service,provisional_needs_org_level_verification,low,"Economic-development role should not automatically imply community rootedness."
TC031,African Economic Development Solutions (AEDS),verified_corpus,include,economic_development,coalition_network,provisional_needs_org_level_verification,low,"Verify constituency breadth and direct-service intensity."
TC008,Literacy Minnesota,verified_corpus,include,education,service,provisional_needs_org_level_verification,low,"General-population organization with immigrant-relevant programming may require scope coding."
TC060,SEWA-AIFW,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Verify constituency and community-constituted status."
TC019,Esperanza United,verified_corpus,include,service,advocacy,provisional_needs_org_level_verification,low,"Direct service and advocacy likely coexist; verify immigrant/Latine constituency scope."
TC021,IAFR Jonathan House,verified_corpus,include,faith,service,provisional_needs_org_level_verification,low,"Program-level relation to parent organization must be preserved."
TC034,Al-Maa'uun,verified_corpus,include,ethnocultural,education,provisional_needs_org_level_verification,low,"Verify service intensity and faith/community institutional form."
TC015,Aeon,verified_corpus,include,housing,service,provisional_needs_org_level_verification,low,"General housing organization; immigrant-population eligibility and constituency scope should remain distinct from typology."
TC016,Bridging,verified_corpus,include,service,other,provisional_needs_org_level_verification,low,"General direct-service organization; verify immigrant/refugee positioning."
TC037,CommonBond Communities,verified_corpus,include,housing,service,provisional_needs_org_level_verification,low,"Housing/service role seed; population scope requires verification."
TC036,Catholic Charities Twin Cities,verified_corpus,include,faith,service,provisional_needs_org_level_verification,low,"Faith-based institutional form and service function should be separate dimensions."
D2-07,Groundwork Legal,verified_corpus,include,legal,advocacy,provisional_needs_org_level_verification,low,"Verify whether legal services, organizing, or advocacy is dominant."
TC078,Jewish Community Action,verified_corpus,include,advocacy,faith,provisional_needs_org_level_verification,low,"Faith/community organizing hybrid; immigrant-specific constituency should not be presumed."
TC002,Cedar Riverside Adult Education Collaborative,verified_corpus,include,education,service,provisional_needs_org_level_verification,low,"Collaborative/network form and community rootedness require verification."
TC050,Project for Pride in Living,verified_corpus,exclude_from_primary_analysis,service,other,provisional_excluded_record,low,"Retained for collection provenance but excluded from final primary universe under immigrant/refugee-population criterion."
TC070,Hmong American Partnership,verified_corpus,include,ethnocultural,service,provisional_needs_org_level_verification,low,"Likely community-rooted service hybrid; verify advocacy dimension separately."
TC049,PRISM,verified_corpus,include,service,other,provisional_needs_org_level_verification,low,"General service organization; constituency scope and eligibility evidence should be checked together but separately coded."
TC026,Volunteers of America Minnesota and Wisconsin,verified_corpus,include,service,education,provisional_needs_org_level_verification,low,"Broad service organization; immigrant-relevant unit/program scope requires verification."
TC065,Volunteer Lawyers Network,verified_corpus,include,legal,service,provisional_needs_org_level_verification,low,"Legal/direct service role seed."
TC025,Twin Cities Habitat for Humanity,verified_corpus,include,housing,service,provisional_needs_org_level_verification,low,"General housing organization; immigrant/refugee population connection should remain an eligibility evidence question."
TC062,AVIVO,verified_corpus,include,service,education,provisional_needs_org_level_verification,low,"Broad service/employment organization; verify constituency scope."
TC023,Missions Inc. Programs,verified_corpus,include,service,other,provisional_needs_org_level_verification,low,"Broad service organization; verify immigrant/refugee-specific positioning."
TC007,Keystone Community Services,candidate_tier_only,include,service,other,provisional_candidate_only,low,"Candidate-tier communication only; typology can be verified independently of communication retrieval status."
