org_id,organization_name,screening_decision,analysis_universe_status,primary_universe_flag,evidence_certainty,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,communication_audit_note,screening_notes,source_screening_file
TC011,MORE,eligible,include_primary_universe,1,verified,yes,yes,nonprofit,yes,standalone_organization,"Official site states MORE serves refugees, immigrants, and New Americans in St. Paul and provides education/support aimed at economic and social independence; Minnesota resource listing confirms refugees and immigrants are an explicit eligible population",https://www.more-empowerment.org/historyandmission,https://mn.gov/adresources/search/4b2d0f32-6bdd-589b-956e-f8a074619c17/,,Strong inclusion case,eligibility_screening_batch_02_TC011_TC020.csv
TC012,MTA Center - Mothers Tutoring Academy,probably_eligible,include_primary_universe,1,provisional,yes,uncertain,organization_or_program,yes,needs_more_verification,"Current site confirms an active St. Paul tutoring/education organization, but its public mission is broadly focused on youth education and does not currently make immigrant/refugee communities explicit; retain provisionally because it entered the seed frame through immigrant-serving landscape research",https://mtacenter.org/,https://mtacenter.org/faqs/,,Needs stronger evidence that immigrants/refugees are a substantial public rather than incidental participants,eligibility_screening_batch_02_TC011_TC020.csv
TC013,Sierra Leone Community in Minnesota,eligible,include_primary_universe,1,verified,yes,yes,community_based_org,yes,standalone_organization,"Official site identifies SLCM as an umbrella organization serving Sierra Leonean and related West African communities in Minneapolis-St. Paul, with explicit immigrant-community collaboration and Twin Cities service geography",https://slcmn.org/,https://slcmn.org/about/,,Strong inclusion case,eligibility_screening_batch_02_TC011_TC020.csv
TC014,Somali American Parent Association (SAPA),eligible,include_primary_universe,1,verified,yes,yes,community_based_org,probable,standalone_organization,"Minnesota DHS cultural-provider directory identifies SAPA in Minneapolis and lists immigration legal services, parent education, cultural-crossing training, and student-success programs serving Somali families",https://mn.gov/dhs/assets/cultural-providers-resource-list_tcm1053-413784.pdf,,,Strong substantive fit; current study-period organizational activity should still be confirmed later,eligibility_screening_batch_02_TC011_TC020.csv
TC015,Aeon,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Aeon is an active Minneapolis 501(c)(3) affordable-housing nonprofit, but its current mission and public-facing materials are broad housing-focused and do not identify immigrants/refugees as an explicit or substantial organizational public",https://aeon.org/,https://aeon.org/about/,,Exclude from organizational universe under incidental-population rule; immigrants may be clients but are not a defined organizational public,eligibility_screening_batch_02_TC011_TC020.csv
TC016,Bridging,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Bridging is a Twin Cities 501(c)(3) furniture-bank/housing-stability nonprofit serving a broad low-income population; historical materials note immigrants/refugees among many client groups, but the current mission does not make them an explicit or substantial organizational public",https://bridging.org/,https://bloomington.minneapolischamber.org/list/member/bridging-11945,,Exclude under incidental-population rule,eligibility_screening_batch_02_TC011_TC020.csv
TC017,Casa Guadalupana,eligible,include_primary_universe,1,verified,yes,yes,faith_rooted_nonprofit,yes,standalone_organization,Official site states Casa Guadalupana has served migrant families since 1999 and provides housing and support to people who fled war/persecution and are going through the U.S. asylum process; site identifies it as a tax-exempt charitable organization,https://www.casaguadalupana.org/,https://www.casaguadalupana.org/pagina-nueva,,Strong inclusion case,eligibility_screening_batch_02_TC011_TC020.csv
TC018,East African Housing Services,exclude,exclude,0,excluded,yes,uncertain_or_not_explicit,commercial_or_health_service_provider,yes,organizational_form_mismatch,Current public records identify East African Housing Services Inc. as an active Minneapolis community/behavioral-health and housing-support provider; available evidence does not establish nonprofit/civil-society status or an explicit immigrant/refugee public,https://www.hennepin.us/-/media/hennepinus/business/work-with-hennepin-county/current-future-providers/community-based-housing-support-provider-list.pdf,https://npiprofile.com/npi/1710347539,,Exclude under civil-society-form and population-relevance criteria unless later evidence establishes nonprofit immigrant-serving status,eligibility_screening_batch_02_TC011_TC020.csv
TC019,Esperanza United,probably_eligible,include_primary_universe,1,provisional,yes,probable,nonprofit,yes,standalone_organization,"Official site confirms a St. Paul-origin nonprofit serving Latinas/Latin@ communities through domestic- and sexual-violence services. Immigrant relevance is plausible and likely substantial, but the current public mission is broader than immigration and does not by itself establish immigrants/refugees as an explicit organizational public",https://esperanzaunited.org/en/,,,Retain provisionally; later verify immigrant-specific programs/communications during study period,eligibility_screening_batch_02_TC011_TC020.csv
TC020,Greater Metropolitan Housing Corporation,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,GMHC is a Twin Cities affordable-housing nonprofit serving low- and moderate-income individuals and families broadly; its current mission and state resource listing do not identify immigrant/refugee communities as an explicit or substantial organizational public,https://www.gmhchousing.org/about-us,https://mn.gov/adresources/search/b0ee61b1-18ad-5d5e-b2a6-bde6f73b57a6/,,Exclude under incidental-population rule,eligibility_screening_batch_02_TC011_TC020.csv
TC021,IAFR Jonathan House,eligible,include_primary_universe,1,verified,yes,yes,faith_based_nonprofit_program,yes,program_under_parent_org,"Jonathan House is an IAFR program in Minneapolis-St. Paul providing shelter, supportive housing, practical assistance, and community connections specifically to asylum seekers and people recovering from forced displacement",https://jonathanhouse.org/,https://iafr.org/projects/jonathan-house,,Strong inclusion case; later decide whether coding unit is Jonathan House program or IAFR Minneapolis-St. Paul,eligibility_screening_batch_03_TC021_TC030.csv
TC022,Lutheran Social Service of Minnesota - Refugee Services,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_program,yes,program_under_parent_org,"LSS Refugee Services explicitly serves refugees in the Twin Cities through case management, employment services, and immigration legal services; Minneapolis office documented",https://www.lssmn.org/services/refugees,https://www.lssmn.org/services/refugees/services/legal,,Strong inclusion case; treat Refugee Services as the relevant organizational program,eligibility_screening_batch_03_TC021_TC030.csv
TC023,Missions Inc. Programs,probably_eligible,include_primary_universe,1,provisional,yes,yes_at_program_level,nonprofit,yes,program_level_relevance,"Missions Inc. is a broad nonprofit, but its Home Free Community Program includes a dedicated Immigrant and Refugee Program providing culturally specific domestic-violence advocacy and immigration-specific support",https://www.missionsinc.org/our-services/domestic-violence-services/,https://www.missionsinc.org/about-us/,,Retain provisionally; likely include only if communication can be attributed to the immigrant/refugee program rather than the parent organization generally,eligibility_screening_batch_03_TC021_TC030.csv
TC024,Sakan,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_or_community_org,yes,standalone_organization,"Sakan Community Resources states that it focuses on immigrant families in Minnesota's seven-county Twin Cities area through homeownership, financial stability, civic engagement, and advocacy",https://www.sakanresources.org/,,,Strong inclusion case,eligibility_screening_batch_03_TC021_TC030.csv
TC025,Twin Cities Habitat for Humanity,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Twin Cities Habitat's current mission centers affordable homeownership and racial equity in housing across the seven-county metro. Noncitizens may be eligible, but immigrant/refugee communities are not an explicit or substantial organizational public",https://www.tchabitat.org/about,https://help.tchabitat.org/knowledge/program-eligibility,,Exclude under incidental-population rule,eligibility_screening_batch_03_TC021_TC030.csv
TC026,Volunteers of America Minnesota and Wisconsin,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"VOA MN/WI operates broad programs for youth, older adults, people with disabilities, reentry, and other populations. Current organizational materials do not identify immigrant/refugee communities as a defining or substantial public",https://www.voamnwi.org/,https://www.voamnwi.org/contact-us,,Exclude under incidental-population rule,eligibility_screening_batch_03_TC021_TC030.csv
TC027,ZACAH,eligible,include_primary_universe,1,verified,yes,yes,faith_rooted_nonprofit,yes,standalone_organization,"ZACAH operates refugee rental assistance in Minnesota and works with Afghan Cultural Society, refugee resettlement agencies, community organizations, and state partners to support Afghan refugees with housing",https://www.zacah.org/refugee-rental-assistance,,,Strong inclusion case,eligibility_screening_batch_03_TC021_TC030.csv
TC028,African Career Education and Resources Inc. (ACER),eligible,include_primary_universe,1,verified,yes,yes,community_based_nonprofit,yes,standalone_organization,"ACER is a Twin Cities community-based organization founded to work with African immigrants and other BIPOC communities through housing, economic opportunity, health equity, civic engagement, and advocacy",https://acerinc.org/programs/,https://acerinc.org/,,Strong inclusion case,eligibility_screening_batch_03_TC021_TC030.csv
TC029,African Community Services,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"African Community Services is an active Minneapolis nonprofit founded by Somali refugees and provides settlement, integration, advocacy, housing, employment, and other services to African immigrants and refugees across the Twin Cities",https://mn.gov/adresources/search/bd21f4b6-13d5-50ff-a3d2-bdf84656b450/?entry=topic_card,https://africancs.org/contact/,,Strong inclusion case,eligibility_screening_batch_03_TC021_TC030.csv
TC030,African Development Center of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"African Development Center is headquartered in Minneapolis and explicitly states a mission of economic empowerment for African immigrants and refugees through financial literacy, business development, homeownership, and micro-lending",https://www.adcminnesota.org/node/5,https://www.adcminnesota.org/home,,Strong inclusion case,eligibility_screening_batch_03_TC021_TC030.csv
TC031,African Economic Development Solutions (AEDS),eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"AEDS is based in St. Paul and explicitly states that its mission is to build wealth within African immigrant communities through business development, lending, homeownership education, and community building",https://www.aeds-mn.org/about,https://www.aeds-mn.org/programs-and-services,,Strong inclusion case,eligibility_screening_batch_04_TC031_TC040.csv
TC032,AFDN / African Families Development Network,probably_eligible,include_primary_universe,1,provisional,yes,yes,nonprofit,probable,standalone_organization,"Current nonprofit records identify African Families Development Network as a Minneapolis 501(c)(3) classified under ethnic/immigrant centers and services, with a mission focused on African immigrant families; however, the organization's current web presence/activity during the study period is unclear and Minnesota DHS provider-exclusion records warrant caution",https://projects.propublica.org/nonprofits/organizations/263038494,https://www.charitynavigator.org/ein/263038494,,Retain provisionally pending confirmation of active study-period organizational operations and public communication,eligibility_screening_batch_04_TC031_TC040.csv
TC033,African Immigrants Community Services (AICS),eligible,include_primary_universe,1,verified,yes,yes,community_based_nonprofit,yes,standalone_organization,"AICS explicitly serves African immigrants and refugees in the Twin Cities and provides county-assistance navigation, language support, employment services, cultural orientation, and refugee services",https://aicsmn.org/,https://aicsmn.org/welcome-to-aics/,,Strong inclusion case,eligibility_screening_batch_04_TC031_TC040.csv
TC034,Al-Maa'uun,probably_eligible,include_primary_universe,1,provisional,yes,probable,faith_rooted_nonprofit,yes,standalone_organization,"Al-Maa'uun is a Minneapolis 501(c)(3) faith-rooted service organization. Its current mission centers poverty, recovery, housing, employment, and Black/communities of color rather than immigration specifically, although community directories classify it under immigrant/refugee services and it is embedded in a multiethnic Muslim community",https://almaauun.org/about-us/,https://handsontwincities.galaxydigital.com/agency/detail/?agency_id=132772,,Retain provisionally; later require evidence that immigrant/refugee communities are a substantial organizational public rather than incidental beneficiaries,eligibility_screening_batch_04_TC031_TC040.csv
TC035,Arrive Ministries,eligible,include_primary_universe,1,verified,yes,yes,faith_based_nonprofit,yes,standalone_organization,"Arrive Ministries is a Richfield-based refugee resettlement agency and 501(c)(3) that explicitly serves refugees and immigrants in the Twin Cities through resettlement, employment, education, volunteer connection, and DOJ-recognized immigration legal services",https://arriveministries.org/who-we-are/,https://arriveministries.org/immigration-legal-services/,,Strong inclusion case,eligibility_screening_batch_04_TC031_TC040.csv
TC036,Catholic Charities Twin Cities,exclude,exclude,0,excluded,yes,no_or_incidental_currently,nonprofit,yes,broad_service_org,"Catholic Charities is an active Twin Cities nonprofit and communicated about immigration enforcement in 2026, but its dedicated refugee reception and placement program closed permanently in 2018 and its current service portfolio is broad housing, shelter, child/family, disability, and homelessness work rather than an immigrant/refugee-serving organizational mission",https://old.cctwincities.org/locations/refugee-reception-placement/,https://cctwincities.org/services-and-locations/,,Exclude from the core organizational universe under the current mission/population rule; preserve separately as a potentially relevant study-period communicator if the design later broadens beyond immigrant-serving organizations,eligibility_screening_batch_04_TC031_TC040.csv
TC037,CommonBond Communities,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"CommonBond is a St. Paul-based affordable-housing nonprofit serving adults, families, older adults, veterans, and people with disabilities. Some residents are immigrants/refugees, but they are not an explicit or substantial organizational public in the current mission",https://commonbond.org/find-a-home/,https://www.hennepincounty.gov/housing/hennepin-county-housing-stories/innovative-development-integrates-affordable-housing,,Exclude under incidental-population rule,eligibility_screening_batch_04_TC031_TC040.csv
TC038,Comunidades Latinas Unidas En Servicio (CLUES),eligible,include_primary_universe,1,verified,yes,yes,Latino_led_nonprofit,yes,standalone_organization,"CLUES is Minnesota's largest Latino-led nonprofit, with offices in St. Paul and Minneapolis, providing culturally and linguistically relevant services and systemic-change work for Latino communities",https://clues.org/,https://clues.org/about/,,Strong inclusion case as an identifiable immigrant-origin community organization even though its mission is framed broadly around Latinos rather than immigration status,eligibility_screening_batch_04_TC031_TC040.csv
TC039,Darul Uloom Center,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_faith_community_org,yes,standalone_organization,"Darul Uloom Center in St. Paul explicitly states that it helps refugees and immigrants through skill/literacy programs and provides immigration, interpretation, and citizenship services",https://darululoomcenter.org/nonprofit-organization-core-programs,,,Strong inclusion case,eligibility_screening_batch_04_TC031_TC040.csv
TC040,Igbo Women League of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,ethnocultural_nonprofit,yes,standalone_organization,"Igbo Women League of Minnesota is a Brooklyn Center 501(c)(3) founded by Igbo women and serving Igbo/African-origin women and families in Minnesota through cultural, educational, health, youth, and community programs",https://igbowomenleaguemn.org/,https://igbowomenleaguemn.org/about-us,,Strong inclusion case as an identifiable immigrant-origin ethnocultural organization,eligibility_screening_batch_04_TC031_TC040.csv
TC041,International Institute of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,nonprofit,yes,standalone_organization,"Official site states the Institute helps immigrants and refugees make Minnesota their home through refugee resettlement, immigration and citizenship assistance, English education, workforce development, and related New American services from its St. Paul office",https://iimn.org/about-us/,https://iimn.org/programs/,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC042,Isuroon,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Official site identifies Isuroon as a Somali women-led organization in Minneapolis serving Somali and other ethnic women, with refugee support and culturally specific services; Minnesota Help Me Connect states programs are designed for immigrants and refugees and serve the Twin Cities metro",https://isuroon.org/,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Isuroon/Counseling_Services/1,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC043,Minnesota African Women's Association,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"MAWA states its mission is to promote the health and well-being of African refugee and immigrant women and their families in the Twin Cities through research, education, advocacy, and programming",https://mawanet.org/who-we-are/,https://jobs.minnesotanonprofits.org/company/minnesota-african-womens-association-66816,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC044,Minnesota Council of Churches - Refugee Services,eligible,include_primary_universe,1,verified,yes,yes,faith_based_nonprofit_program,yes,program_under_parent_org,"Minnesota Council of Churches operates Refugee & Immigrant Services from its Twin Cities office in St. Paul, providing welcome, support, and resources for newcomers resettling in Minnesota",https://mnchurches.org/,https://mnchurches.org/contact,,Strong inclusion case; relevant unit is Refugee & Immigrant Services,eligibility_screening_batch_05_TC041_TC050.csv
TC045,Neighborhood House,eligible,include_primary_universe,1,verified,yes,yes,nonprofit,yes,standalone_organization,"Neighborhood House states it has served refugees and immigrants on St. Paul's West Side for more than a century and remains a full-service hub for refugees, immigrants, and others in transition",https://neighborhoodhousemn.org/about/,https://neighborhoodhousemn.org/,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC046,New American Development Center,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_development_org,yes,standalone_organization,Minnesota Attorney General registry lists NADC as an active Minneapolis charity serving minority/immigrant families; Hennepin County describes its culturally appropriate business and financial services for the East African immigrant community,https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=320241006&Yr=CURR&cmdSearch=View,https://www.elevatehennepin.org/what-we-offer/resource-directory/new-american-development-center,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC047,Oromo Community of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Official site states OCM was established to help Oromo refugees and immigrants settle and integrate in Minnesota, particularly the Twin Cities, and is a 501(c)(3) nonprofit based in St. Paul",https://oromocommunitymn.org/about-us/,https://oromocommunitymn.org/,,Strong inclusion case,eligibility_screening_batch_05_TC041_TC050.csv
TC048,Our Saviour's Community Services,eligible,include_primary_universe,1,verified,yes,yes,nonprofit,yes,standalone_organization_with_immigrant_program,"OSCS is an independent Minneapolis nonprofit whose English Learning Center explicitly serves adult immigrants and refugees with English, math, digital literacy, and citizenship preparation",https://oscs-mn.org/about/,https://oscs-mn.org/english-learning-center/,,Strong inclusion case; immigrant/refugee relevance is concentrated in the English Learning Center but substantial enough to retain the parent organization,eligibility_screening_batch_05_TC041_TC050.csv
TC049,PRISM,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,"PRISM is a Golden Valley nonprofit providing food, clothing, housing-related assistance, and resource navigation to low-income households broadly; current materials do not identify immigrants/refugees as an explicit or substantial organizational public",https://prismmpls.org/,https://mn.gov/adresources/search/4243e8ed-90c4-57d4-908b-bf5a998d7f34,,Exclude under incidental-population rule,eligibility_screening_batch_05_TC041_TC050.csv
TC050,Project for Pride in Living,exclude,exclude,0,excluded,yes,no_or_incidental,nonprofit,yes,broad_service_org,PPL is an active Minneapolis charity serving low- and moderate-income individuals and families through housing and employment programs; current mission and service descriptions do not identify immigrant/refugee communities as a defining organizational public,https://careerforce.mn.gov/partner/project-pride-living-minneapolis,https://www.ag.state.mn.us/Charity/Search/CHR_GeneralInfo.asp?FederalID=237232208&Yr=CURR&cmdSearch=View,,Exclude under incidental-population rule,eligibility_screening_batch_05_TC041_TC050.csv
TC051,Somali Community Resettlement Services,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,Official site states a mission to advance the social well-being of immigrants and refugees through community and resettlement services; Minneapolis office serves the Twin Cities metro and state resource listings explicitly identify immigrant/refugee specialization,https://somalcrs.org/,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Somali_Community_Resettlement_Services/Forms_Assistance/3,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC052,Somali Success,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Somali Success is a Minneapolis 501(c)(3) constituency-based organization whose mission explicitly centers immigrants and new refugees through education, advocacy, employment, citizenship, and support services",https://www.somalisuccess.org/about/mission/,https://www.somalisuccess.org/,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC053,YMCA of the North - Immigrant and Refugee Support,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_program,yes,program_under_parent_org,"YMCA of the North operates New American Welcome Centers and Resettlement Network Services that explicitly support newcomers with resource navigation, integration, and immigration legal services in partnership with Minnesota's resettlement system",https://www.ymcanorth.org/impact/newcomer_support,https://mn.gov/dhs/resettlement/provider-list/,,Strong inclusion at program level; do not treat the entire YMCA portfolio as the sampling unit,eligibility_screening_batch_06_TC051_TC060.csv
TC054,Alight,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_humanitarian_org,yes,standalone_or_local_hub,"Alight has a Minneapolis hub and during the study period directly supported refugee and immigrant families in Minnesota, including emergency response to Operation PARRIS and statewide resettlement-network coordination",https://www.wearealight.org/contact,https://www.wearealight.org/stories/supporting-our-minnesota-community,,Strong inclusion case; later decide whether to code Minneapolis/Minnesota communications as local hub material within the global organization,eligibility_screening_batch_06_TC051_TC060.csv
TC055,CAPI USA,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,CAPI explicitly provides comprehensive support services for immigrants and refugees in the Twin Cities and operates the CAPI Immigrant Opportunity Center in Brooklyn Center,https://www.capiusa.org/,https://www.capiusa.org/services,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC056,Karen Organization of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"KOM's mission explicitly centers refugee and immigrant communities; the organization is refugee-led, serves over 2,000 refugees and immigrants annually, and serves clients living in the Twin Cities",https://mnkaren.org/about/,https://mnkaren.org/,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC057,Immigrant Law Center of Minnesota,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_legal_aid_org,yes,standalone_organization,"ILCM is a St. Paul-based nonprofit providing free immigration legal representation, education, and advocacy for low-income immigrants and refugees in Minnesota",https://www.ilcm.org/mission-history,,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC058,Mid-Minnesota Legal Aid,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_program,yes,program_under_parent_org,"Mid-Minnesota Legal Aid's Immigration Law Project provides immigration representation including citizenship, permanent residency, youth cases, survivor petitions, and deportation defense; Minnesota DHS also lists MMLA as a resettlement-network legal partner in Minneapolis",https://mylegalaid.org/how-we-help/immigration/,https://mn.gov/dhs/resettlement/program-overviews/,,Strong inclusion at Immigration Law Project level,eligibility_screening_batch_06_TC051_TC060.csv
TC059,Minnesota African Women Coalition,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"MNAWC identifies itself as an African immigrant-led 501(c)(3) community organization serving immigrant communities in the Minneapolis-Saint Paul Twin Cities through health, economic development, capacity building, and advocacy",https://www.mnawc.net/,https://www.mnawc.net/about,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC060,SEWA-AIFW,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"SEWA-AIFW is a Brooklyn Center 501(c)(3) rooted in South Asian communities and refugee needs, provides culturally specific services, runs programs for newly arrived Afghan families under refugee resettlement programs, and is listed by Minnesota DHS as a resettlement network partner",https://www.sewa-aifw.org/our-story,https://www.sewa-aifw.org/what-we-do,,Strong inclusion case,eligibility_screening_batch_06_TC051_TC060.csv
TC061,Ukrainian American Community Center,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_community_center,yes,standalone_organization,"UACCMN is a Minneapolis-based nonprofit community center founded by Ukrainian immigrants. Its current mission explicitly includes empowering Ukrainian refugees, supporting integration of refugees and new immigrants, and providing refugee services; the official site reports more than 1,000 refugees served in 2023.",https://uaccmn.org/about/,https://uaccmn.org/,,Strong inclusion case,eligibility_screening_batch_07_TC061_TC070.csv
TC062,AVIVO,eligible,include_primary_universe,1,verified,yes,yes_at_program_level,nonprofit,yes,program_level_unit,"Avivo is a broad Minneapolis nonprofit, but Minnesota DHS currently lists it as a Resettlement Network Services partner, including Family Education Supports for people under humanitarian protection. Avivo also explicitly identifies new immigrants among priority populations in its employment services.",https://mn.gov/dhs/resettlement/provider-list/,https://avivomn.org/services/employment-services/,,Include at refugee/newcomer program level rather than treating the entire parent organization as immigration-focused,eligibility_screening_batch_07_TC061_TC070.csv
TC063,Afghan Cultural Society,eligible,include_primary_universe,1,verified,yes,yes,community_based_nonprofit,yes,standalone_organization,"Afghan Cultural Society is based in Minneapolis and explicitly serves Afghan diaspora/newcomer communities through peer-based resettlement support, family resource connectors, mental-health programs, education support, and cultural programming.",https://afghanculturalsociety.org/,https://mn.gov/dhs/resettlement/provider-list/,,Strong inclusion case,eligibility_screening_batch_07_TC061_TC070.csv
TC064,The Advocates for Human Rights,eligible,include_primary_universe,1,verified,yes,yes,nonprofit_legal_advocacy_org,yes,standalone_organization,"The Advocates for Human Rights is headquartered in Minneapolis and operates substantial migrant-rights and immigration legal work, including asylum representation, detained-immigrant assistance, trafficking and unaccompanied-minor cases, immigration policy advocacy, and current 2026 migrant-rights communications.",https://theadvocatesforhumanrights.org/,https://theadvocatesforhumanrights.org/Legal_Help/Asylum,,Strong inclusion case,eligibility_screening_batch_07_TC061_TC070.csv
