record_id,organization_name,origin,consolidation_status,merge_into,record_type,screening_priority,consolidation_notes
TC046,New American Development Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC047,Oromo Community of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC048,Our Saviour's Community Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC049,PRISM,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC050,Project for Pride in Living,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC051,Somali Community Resettlement Services,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC052,Somali Success,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC053,YMCA of the North - Immigrant and Refugee Support,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC054,Alight,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC055,CAPI USA,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC056,Karen Organization of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC057,Immigrant Law Center of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC058,Mid-Minnesota Legal Aid,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC059,Minnesota African Women Coalition,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC060,SEWA-AIFW,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC061,Ukrainian American Community Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC062,AVIVO,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC063,Afghan Cultural Society,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC064,The Advocates for Human Rights,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC065,Volunteer Lawyers Network,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC066,United Cambodian Association of Minnesota (UCAM),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC067,Immigrant Connection - Waite Park,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC068,Immigrant Connection Mosaic,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC069,Hmong Cultural Center,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC070,Hmong American Partnership,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC071,Lao Assistance Center of Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC072,Confederation of Somali Community in Minnesota,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC073,Center for Victims of Torture,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC074,COPAL - Communities Organizing Latine Power and Action,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC075,Unidos MN,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC077,ISAIAH,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC078,Jewish Community Action,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC079,Fe y Justicia MN,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC080,Asamblea de Derechos Civiles,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC081,Minnesota Immigrant Movement,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC082,Coalition of Asian American Leaders (CAAL),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC083,Navigate MN,seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),seed_84,retain_pending_screening,,organization_or_program,baseline,Seed registry record
D1-01,Voice in the Wilderness Organization,batch_01_state_resettlement_legal,retain_pending_screening,,organization,normal,State/resettlement/legal discovery
D1-02,CHW Solutions,batch_01_state_resettlement_legal,retain_pending_screening,,organization_form_to_verify,normal,State/resettlement/legal discovery
D1-03,ESHARA - Ethnic Self-Help Alliance for Refugee Assistance,batch_01_state_resettlement_legal,retain_geography_to_verify,,organization,normal,State/resettlement/legal discovery
D1-04,Center for African Immigrants and Refugees Organization (CAIRO),batch_01_state_resettlement_legal,likely_geographic_exclusion_pending_screening,,organization,low,State/resettlement/legal discovery
D1-05,Intercultural Mutual Assistance Association (IMAA),batch_01_state_resettlement_legal,likely_geographic_exclusion_pending_screening,,organization,low,State/resettlement/legal discovery
D1-06,CAPLP - Lakes & Prairies Community Action Partnership,batch_01_state_resettlement_legal,likely_geographic_exclusion_pending_screening,,organization,low,State/resettlement/legal discovery
D1-07,United Community Action Partnership (UCAP),batch_01_state_resettlement_legal,likely_geographic_exclusion_pending_screening,,organization,low,State/resettlement/legal discovery
D1-08,Southwest Minnesota Private Industry Council (SWMNPIC),batch_01_state_resettlement_legal,likely_geographic_exclusion_pending_screening,,organization,low,State/resettlement/legal discovery
D1-09,Southern Minnesota Regional Legal Services (SMRLS),batch_01_state_resettlement_legal,retain_pending_screening,,organization,normal,State/resettlement/legal discovery
D2-01,ACLU of Minnesota,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-02,MN8 / Release MN8,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-03,Ayada Leads,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-04,Black Immigrant Collective,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-05,CAIR-Minnesota,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-07,Groundwork Legal,batch_02_advocacy_networks,retain_pending_screening,,organization,high,Advocacy/legal network discovery
D2-08,Defend the 612,batch_02_advocacy_networks,retain_pending_screening,,coalition_or_volunteer_network_to_verify,high,Advocacy/legal network discovery
D2-09,Monarca,batch_02_advocacy_networks,duplicate_program_candidate,Unidos MN,program,low,Associated with Unidos MN; preserve row for audit but not counted as distinct unit pending review
D2-10,Immigrant Defense Network,batch_02_advocacy_networks,retain_pending_screening,,coalition_network,high,Advocacy/legal network discovery
D3-01,Community Services Agency of Minnesota (COMSA-MN),batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-02,Southeast Asian Diaspora Project (SEAD),batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-03,Bhutanese Community Organization of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-04,Asian Women United of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-05,India Association of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-06,Fil-Minnesotan Association,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-07,Cultural Society of Filipino Americans,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-08,Chinese American Association of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-09,The Urban Village,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-10,Korean Association of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-11,Association of Nepalis in Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-12,Tibetan American Foundation of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-13,Vietnamese Community of Minnesota,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-14,LatinoLEAD,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-15,Hispanic Advocacy and Community Empowerment through Research (HACER),batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-16,Latino Economic Development Center (LEDC),batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-17,Alliance of Chicanos Hispanics and Latin Americans (ACHLA),batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-18,Asian Media Access,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-19,Minnesota Hmong Chamber of Commerce,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-20,MN Zej Zog,batch_03_faith_ethnocultural,retain_pending_screening,,organization,normal,Faith/ethnocultural discovery
D3-21,Roseville Covenant Church - Good Neighbor refugee ministry,batch_03_faith_ethnocultural,program_level_candidate,,program_or_congregational_initiative,low,Faith/ethnocultural discovery
D3-22,Church of St. Leonard of Port Maurice - refugee co-sponsorship,batch_03_faith_ethnocultural,program_level_candidate,,program_or_congregational_initiative,low,Faith/ethnocultural discovery
D3-23,Church of the Holy Name - refugee co-sponsorship,batch_03_faith_ethnocultural,program_level_candidate,,program_or_congregational_initiative,low,Faith/ethnocultural discovery
D4-01,Ethiopian Community in Minnesota,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-02,Organization of Liberians in Minnesota,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-03,Lao Family Community of Minnesota,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-04,Sub-Saharan African Youth and Family Services in Minnesota (SAYFSM),batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-05,Vietnamese Social Services of Minnesota,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-06,Restoration for All Inc.,batch_04_mdh_community,retain_relevance_to_verify,,organization,low,MDH cultural/community directory discovery
D4-07,Somali Parent Academy,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-08,Hmong Shaman & Herb Center,batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-09,African Growers and Producers Alliance (AGAPA),batch_04_mdh_community,retain_pending_screening,,organization,normal,MDH cultural/community directory discovery
D4-10,Legacy Family Center,batch_04_mdh_community,retain_relevance_to_verify,,organization,low,MDH cultural/community directory discovery
D4-11,Care Resource Connection,batch_04_mdh_community,retain_relevance_to_verify,,organization,low,MDH cultural/community directory discovery
D4-12,Power of People Leadership Institute,batch_04_mdh_community,retain_relevance_to_verify,,organization,low,MDH cultural/community directory discovery
