item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,crosspost_group_id,enforcement_relevance,retrieval_date,retrieval_status,archive_or_capture_note,collection_notes
TC038-EVT-001,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2025-11-01,website,https://clues.org/event-calendar/list/?eventDisplay=past,event,"Día de los Muertos","CLUES calendar lists a Día de los Muertos community event on Nov. 1, 2025.",English;Spanish,text_image,,uncoded,2026-09-21,retrieved_from_archive_index,"Official CLUES historical event calendar exposes exact date and title.","Full-census website item; calendar listing URL retained where canonical event URL was not resolved in this pass."
TC038-EVT-012,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-01-07,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Jan. 7, 2026.","Full-census website item."
TC038-EVT-013,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-01-14,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Jan. 14, 2026.","Full-census website item."
TC038-EVT-014,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-01-21,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Jan. 21, 2026.","Full-census website item."
TC038-EVT-015,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-01-28,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Jan. 28, 2026.","Full-census website item."
TC038-EVT-016,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-02-04,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Feb. 4, 2026.","Full-census website item."
TC038-EVT-017,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-02-11,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Feb. 11, 2026.","Full-census website item."
TC038-EVT-018,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-02-18,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Feb. 18, 2026.","Full-census website item."
TC038-EVT-019,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-02-25,website,https://clues.org/event-calendar/list/?eventDisplay=past&posts_per_page=16&tribe-bar-date=2026-02-28,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES historical calendar; Feb. 25, 2026.","Full-census website item."
TC038-EVT-020,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-03-04,website,https://clues.org/event-calendar/month/2026-03/,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES March 2026 calendar; Mar. 4, 2026.","Full-census website item."
TC038-EVT-021,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-03-11,website,https://clues.org/event-calendar/month/2026-03/,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES March 2026 calendar; Mar. 11, 2026.","Full-census website item."
TC038-EVT-022,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-03-18,website,https://clues.org/event-calendar/month/2026-03/,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES March 2026 calendar; Mar. 18, 2026.","Full-census website item."
TC038-EVT-023,TC038,Comunidades Latinas Unidas En Servicio (CLUES),2026-03-25,website,https://clues.org/event-calendar/month/2026-03/,event,"Digital Literacy Program","Recurring CLUES digital-literacy class covering internet browsing, basic computer skills, email, Google Drive and Microsoft Word certification.",English,text,,uncoded,2026-09-21,retrieved,"Official CLUES March 2026 calendar; Mar. 25, 2026.","Full-census website item."
